Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100",9999295084,0.0250001,7.12886e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200",9999781057,0.101,2.35046e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300",9999799342,0.241,2.25227e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100",9999074632,1.604,9.33372e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200",9999556158,3.286,4.58975e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300",9999567930,0.399,4.55987e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100",9999226351,3.945,7.79467e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200",9999235453,16.114,7.75873e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300",9999245246,1.238,7.71788e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100",9996100287,60.009,0.000389343
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200",9996105242,60.005,0.000390181
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300",9996111426,60.006,0.000389421
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100",9980484859,60.5,0.00195565
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200",9980506974,60.004,0.00195485
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300",9980522287,60.008,0.00195384
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100",9999086197,7.763,9.2195e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200",9999105476,2.985,9.10202e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300",9999221788,9.48,8.02188e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_100",9999298896,0.016,7.1109e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_200",9999321638,0.114,6.95262e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_300",9999333088,0.0120001,6.96871e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_100",9999078945,0.132,9.30223e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_200",9999563304,0.0279999,4.54446e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_300",9999579987,2.508,4.49444e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_100",9999230739,3.1,7.76301e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200",9999243141,1.805,7.72508e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300",9999252146,3.538,7.69572e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_100",9996105678,60.005,0.000390027
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_200",9996114577,60.008,0.000388793
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_300",9996128860,60.007,0.000388602
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100",10000018032,15.25,5.54899e-07
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200",9980515435,60.007,0.00195419
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300",9980536125,60.002,0.00195285
