Name,Obj Fn,Runtime,MIPGAP
B1C6_0
Capacity,13462,12368,11967,12333,14077,12087,12191,12139,13052,13502,11204,13012,13055,10782,12919,12040,12659,13677,11709,11856,12392,12559,13215,13048,10940,12338,12102,12513,11911,13080,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B1C6_1
Capacity,13462,12368,12086,12456,14217,12207,12191,12260,13052,13637,11316,13142,13185,10782,13048,12040,12659,13677,11709,11856,12392,12684,13215,13178,11049,12338,12223,12513,12030,13080,
Demand,12590,12444,12525,11838,12344,11970,12821,14075,11245,11437,11673,12517,13456,11699,13619,12146,11916,11281,13584,12817,13292,11975,11980,11666,11231,13015,12328,11061,12521,12755,
B1C6_2
Capacity,13462,12368,12328,12705,14502,12452,12312,12505,13052,13910,11543,13405,13449,10782,13309,12040,12659,13677,11709,11856,12392,12810,13215,13442,11270,12338,12468,12513,12271,13080,
Demand,12339,12444,12525,11838,12344,11731,12565,14075,11245,11208,11440,12517,13187,11699,13347,11903,11678,11056,13448,12817,13027,11736,11741,11666,11231,12755,12081,10840,12521,12755,
B1C6_3
Capacity,13462,12368,12700,13089,14940,12828,12559,12883,13052,14189,11891,13674,13855,10782,13711,12040,12659,13813,11709,11856,12392,12938,13215,13711,11609,12461,12844,12513,12641,13080,
Demand,12092,12444,12525,11838,12344,11381,12190,14075,11245,10874,11098,12517,12794,11699,12949,11548,11330,10726,13313,12817,12767,11385,11390,11666,11231,12500,11721,10516,12521,12627,
B1C6_4
Capacity,13596,12491,13084,13618,15544,13347,12810,13272,13182,14473,12372,13948,14415,10782,14266,12040,12659,14090,11709,11856,12515,13067,13215,14125,12079,12585,13364,12513,13152,13210,
Demand,11851,12444,12525,11838,12344,11042,11827,14075,11245,10444,10768,12517,12413,11699,12563,11090,10881,10300,13179,12688,12512,10935,10940,11666,11231,12251,11371,10201,12521,12375,
B2C6_0
Capacity,12086,12917,13977,13373,12093,11955,13153,13168,12603,12024,12707,11707,13184,12562,12709,12164,12025,11922,11825,12631,11496,13564,11493,12588,12749,12731,12922,11505,11533,11552,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B2C6_1
Capacity,12206,13046,14116,13373,12213,11955,13284,13299,12729,12024,12707,11824,13315,12687,12709,12285,12025,12041,11943,12631,11496,13564,11607,12588,12876,12731,12922,11620,11648,11667,
Demand,12718,12444,12525,11838,12344,11970,12821,14075,11245,11437,11791,12391,13592,11699,13619,12146,11916,11281,13584,12817,13292,12096,11980,11666,11118,13147,12328,11061,12395,12755,
B2C6_2
Capacity,12451,13307,14399,13373,12458,12074,13550,13565,12984,12024,12834,12061,13582,12941,12709,12531,12025,12282,12182,12631,11496,13564,11840,12588,13004,12731,12922,11736,11881,11783,
Demand,12718,12319,12525,11838,12344,11731,12565,14075,11245,11208,11791,12144,13592,11699,13347,11903,11678,11056,13313,12817,13159,12096,11741,11666,10895,13147,12081,10840,12271,12755,
B2C6_3
Capacity,12827,13574,14833,13373,12834,12315,13959,13975,13376,12024,13091,12425,13992,13332,12709,12782,12025,12653,12550,12631,11496,13564,12077,12588,13134,12731,13051,11971,12239,12019,
Demand,12718,12195,12525,11838,12220,11381,12314,14075,11245,10874,11791,11901,13592,11699,12949,11548,11445,10726,13047,12688,13027,12096,11390,11666,10678,13015,11721,10516,12148,12755,
B2C6_4
Capacity,13214,13846,15433,13506,13221,12687,14523,14540,13780,12024,13486,12928,14558,13871,12709,13038,12145,13165,13058,12757,11610,13564,12318,12588,13265,12731,13312,12332,12734,12382,
Demand,12718,12073,12525,11838,12097,10931,12068,14075,11132,10550,11791,11663,13456,11699,12437,11090,11103,10300,12786,12435,12896,12096,10940,11666,10465,12884,11371,10201,12026,12755,
B3C6_0
Capacity,11635,13405,11951,12062,11809,13151,11272,11775,12615,12246,11553,13534,11461,11854,10878,11899,12991,12404,11764,13355,12859,13094,13685,13741,12359,12807,12121,11811,11433,12710,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B3C6_1
Capacity,11751,13539,12070,12182,11927,13282,11272,11775,12615,12368,11668,13669,11461,11854,10986,12017,12991,12528,11881,13355,12987,13094,13821,13878,12482,12935,12242,11929,11547,12837,
Demand,12718,12319,12525,11838,12344,11970,12821,14075,11245,11437,11791,12517,13456,11699,13619,12146,11916,11281,13722,12688,13292,12096,11980,11666,11231,13015,12328,11061,12521,12755,
B3C6_2
Capacity,11986,13810,12311,12426,12166,13548,11272,11775,12615,12615,11784,13943,11461,11854,11205,12258,12991,12779,12118,13355,13247,13094,14098,14156,12732,13194,12487,12168,11778,13094,
Demand,12718,12073,12399,11838,12220,11731,12565,14075,11245,11208,11791,12517,13187,11699,13347,11903,11678,11056,13722,12561,13027,12096,11741,11666,11231,12755,12081,10840,12521,12755,
B3C6_3
Capacity,12348,14227,12683,12801,12533,13819,11272,11892,12615,12868,11901,14364,11461,11854,11544,12628,12991,13035,12484,13488,13647,13094,14523,14439,13116,13592,12864,12535,12133,13489,
Demand,12718,11832,12275,11838,11976,11496,12190,14075,11245,10874,11673,12517,12794,11699,12949,11548,11330,10726,13722,12435,12767,12096,11390,11666,11231,12500,11721,10516,12521,12755,
B3C6_4
Capacity,12720,14803,13066,13319,13040,14096,11272,12010,12615,13125,12140,14945,11461,11972,11892,13009,12991,13296,12861,13622,14199,13094,15111,14875,13512,14002,13384,12913,12623,14034,
Demand,12718,11595,12152,11838,11737,11267,11708,14075,11245,10444,11556,12517,12413,11699,12437,11090,10881,10300,13584,12310,12512,12096,10940,11666,11231,12251,11371,10098,12521,12627,
B4C6_0
Capacity,12992,12829,12686,12762,11052,12466,13395,12197,12775,12193,12285,12884,13516,12836,13416,11573,11112,13130,12809,12678,11454,12963,11806,12318,13179,11978,12744,11953,11761,13704,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B4C6_1
Capacity,13121,12957,12812,12889,11162,12590,13528,12197,12902,12314,12407,13012,13651,12964,13416,11573,11112,13261,12809,12804,11568,13092,11806,12318,13179,12097,12744,11953,11761,13704,
Demand,12718,12444,12525,11838,12220,11970,12821,14075,11132,11437,11673,12391,13456,11582,13619,12146,11916,11281,13722,12688,13427,12096,11980,11666,11231,13147,12328,11061,12395,12755,
B4C6_2
Capacity,13384,13216,13069,13147,11385,12842,13799,12197,13161,12561,12656,13273,13787,13223,13416,11573,11112,13526,12937,13061,11799,13354,11806,12441,13179,12339,12871,11953,11761,13704,
Demand,12718,12444,12525,11838,11976,11731,12565,14075,10909,11208,11556,12267,13321,11466,13347,11903,11678,11056,13722,12435,13427,12096,11741,11666,11231,13147,12081,10840,12148,12755,
B4C6_3
Capacity,13788,13481,13330,13544,11728,13229,14215,12197,13558,12940,13038,13674,13924,13622,13416,11573,11112,13934,13066,13455,12155,13757,11806,12690,13179,12711,13128,12072,11761,13704,
Demand,12718,12444,12525,11838,11619,11381,12190,14075,10691,10874,11440,12022,13187,11351,13080,11548,11330,10726,13722,12064,13427,12096,11390,11666,11231,13147,11840,10516,11905,12627,
B4C6_4
Capacity,14204,13751,13597,14092,12202,13628,14791,12197,13967,13330,13565,14227,14063,14033,13416,11573,11223,14498,13196,13999,12646,14313,11924,12944,13310,13225,13524,12313,11761,13704,
Demand,12718,12444,12525,11838,11272,11042,11827,14075,10478,10444,11325,11781,13055,11237,12819,11090,10881,10300,13584,11704,13427,12096,10940,11666,11118,13147,11603,10098,11667,12375,
B5C6_0
Capacity,12176,12026,10801,13537,12281,12657,11179,12144,10989,13509,12109,13135,12758,13237,13581,12635,13832,13055,12993,11850,12410,13691,12251,11052,12446,11893,12906,12117,12158,11938,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B5C6_1
Capacity,12176,12026,10801,13537,12403,12783,11179,12265,10989,13644,12230,13266,12885,13369,13716,12761,13970,13185,13122,11968,12410,13827,12373,11162,12570,11893,13035,12238,12279,12057,
Demand,12718,12444,12525,11838,12220,11970,12821,13934,11132,11437,11791,12391,13456,11699,13619,12146,11916,11281,13584,12688,13292,12096,11980,11666,11118,13147,12328,11061,12395,12627,
B5C6_2
Capacity,12176,12026,10801,13537,12652,13039,11179,12510,10989,13780,12475,13531,13143,13637,13853,13016,14250,13449,13385,12207,12410,14104,12620,11385,12821,11893,13296,12483,12525,12298,
Demand,12718,12444,12525,11838,12097,11731,12565,13794,11020,11208,11791,12144,13187,11699,13347,11903,11678,11056,13313,12435,13027,12096,11741,11666,10895,13147,12081,10840,12271,12375,
B5C6_3
Capacity,12176,12146,10909,13537,12905,13433,11290,12761,10989,13917,12851,13802,13540,14049,13991,13409,14680,13855,13789,12452,12410,14530,13001,11728,13208,11893,13697,12860,12903,12669,
Demand,12590,12444,12525,11838,11856,11381,12190,13656,10909,10874,11791,11781,12794,11699,12949,11548,11330,10726,12916,12186,12767,12096,11390,11666,10678,13147,11721,10516,12148,12006,
B5C6_4
Capacity,12176,12267,11128,13537,13164,13977,11516,13016,10989,14196,13371,14219,14088,14617,14271,13814,15123,14415,14347,12701,12410,15118,13527,12202,13607,11893,14251,13380,13425,13181,
Demand,12339,12444,12525,11838,11502,10931,11708,13519,10799,10444,11791,11430,12413,11699,12437,11090,10881,10300,12531,11943,12512,12096,10940,11666,10465,13015,11371,10098,12026,11648,
B6C6_0
Capacity,22714,24862,27746,26132,25072,27537,25033,22093,25823,21638,25103,23826,23975,24770,24044,24335,24925,25729,27273,26059,21428,25148,25306,26163,25799,25927,25822,23327,23998,23456,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B6C6_1
Capacity,22941,25110,27746,26132,25322,27812,25283,22313,26081,21854,25354,24064,24214,25017,24044,24578,24925,25986,27545,26319,21428,25399,25306,26163,25799,26186,25822,23560,24237,23456,
Demand,25182,24640,25050,23675,24688,23940,25642,27869,22265,22874,23346,25034,26912,23397,27239,24537,23834,22561,27444,25377,26855,23950,23961,23333,22462,26294,24656,22122,25043,25253,
B6C6_2
Capacity,23401,25614,27746,26132,25575,28370,25535,22761,26604,22292,25607,24547,24700,25519,24044,25071,24925,26507,28098,26847,21428,25908,25306,26163,25799,26447,25822,24032,24723,23456,
Demand,24930,24149,25050,23675,24688,23463,25385,27314,21821,22418,22880,25034,26375,23397,26696,24291,23359,22111,27444,24871,26855,23710,23483,23333,22462,26294,24164,21681,25043,24750,
B6C6_3
Capacity,24109,26389,28023,26393,25830,29228,25790,23217,27409,22966,25863,25289,25196,26291,24044,25829,24925,27309,28661,27659,21428,26692,25306,26163,25799,26711,25822,24514,25471,23456,
Demand,24680,23667,25050,23675,24688,22995,25131,26769,21171,21751,22199,25034,25590,23397,25902,23807,22664,21453,27444,24375,26855,23472,22784,23333,22462,26031,23682,21036,25043,24013,
B6C6_4
Capacity,25086,27187,28586,26922,26088,30113,26047,23919,28520,23896,26121,26053,25701,27086,24044,26876,24925,28416,29236,28496,21428,27773,25306,26163,25799,26978,25822,25006,26241,23456,
Demand,24433,23195,25050,23675,24688,22537,24879,26235,20541,20891,21539,25034,24829,23397,25131,23098,21769,20605,27444,23889,26586,23237,22106,23333,22462,25512,23210,20204,25043,23298,
B7C6_0
Capacity,23307,24391,23702,23024,26005,24398,26533,26083,25099,23900,25485,23501,23758,27383,24140,22273,25230,25739,26403,25566,26851,26055,22741,26080,26871,23667,25307,26255,26260,25943,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B7C6_1
Capacity,23540,24634,23939,23254,26265,24398,26533,26083,25349,23900,25739,23736,23995,27383,24381,22495,25482,25996,26667,25821,26851,26315,22968,26340,26871,23667,25560,26517,26522,26202,
Demand,25437,24640,25050,23675,24441,23940,25642,27869,22490,22874,23346,24783,26912,23397,27239,24291,23834,22561,27169,25377,26855,24192,23961,23333,22462,26031,24656,22122,25043,25509,
B7C6_2
Capacity,24012,25128,24419,23720,26792,24398,26533,26083,25858,24139,26255,24212,24234,27383,24870,22946,25993,26255,27202,26339,26851,26578,23197,26869,26871,23667,26073,26782,27054,26728,
Demand,25437,24393,25050,23438,23954,23463,25131,27590,22490,22418,22880,24289,26642,23397,26696,23807,23359,22111,26628,24871,26586,24192,23483,23333,22462,25512,24164,21681,25043,25509,
B7C6_3
Capacity,24738,25632,25158,24437,27602,24398,26533,26083,26640,24623,27049,24698,24476,27383,25369,23640,26779,26517,27748,27136,27119,26843,23428,27682,27139,23903,26861,27319,27872,27264,
Demand,25437,24149,24799,23203,23476,22765,24383,27314,22490,21751,22424,23566,26375,23397,25902,23098,22664,21453,26097,24375,26320,24192,22784,23333,22462,25003,23445,21036,25043,25509,
B7C6_4
Capacity,25740,26146,25919,25176,28721,24398,26533,26343,27446,25117,27867,25193,24967,27383,25878,24598,27864,26782,28305,28236,27663,27111,23662,28804,27684,24142,27674,28145,29002,27811,
