Name,Obj Fn,Runtime,MIPGAP
B1C3_1,10383,3600.02,0.218145
B1C3_2,12553,3600.02,0.0556042
B1C3_3,13947,482.403,7.17e-05
B1C3_4,14653,62.185,0
B2C3_1,FAIL
B2C3_2,11305,3600.03,0.149845
B2C3_3,13603,916.658,7.35132e-05
B2C3_4,14478,76.041,0
B3C3_1,FAIL
B3C3_2,12084,3600.01,0.0802714
B3C3_3,13617,1095.26,7.34376e-05
B3C3_4,14426,60.406,6.93193e-05
B4C3_1,FAIL
B4C3_2,12761,3600.01,0.0779719
B4C3_3,14372,760.208,6.95797e-05
B4C3_4,15203,27.721,0
B5C3_1,FAIL
B5C3_2,FAIL
B5C3_3,13260,3600.02,0.0301659
B5C3_4,14294,133.747,0
B6C3_1,22883,3600.03,0.103046
B6C3_2,25433,3600.05,0.0385326
B6C3_3,27370,168.274,7.30727e-05
B6C3_4,28294,12.738,0
B7C3_1,23252,3600.04,0.0294168
B7C3_2,24218,3600.03,0.022793
B7C3_3,25539,235.737,3.91558e-05
B7C3_4,26360,23.776,0
B8C3_1,23248,3600.02,0.0821146
B8C3_2,25536,3600.03,0.0254934
B8C3_3,27207,17.923,0
B8C3_4,28027,6.131,0
B9C3_1,23682,3600.02,0.050967
B9C3_2,25479,3600.06,0.0212332
B9C3_3,27002,22.865,0
B9C3_4,27830,7.48,0
B10C3_1,24680,3600.02,0.0573744
B10C3_2,26759,3600.03,0.0122949
B10C3_3,28063,76.738,0
B10C3_4,28969,7.513,0
B11C3_1,FAIL
B11C3_2,38026,123.783,2.62978e-05
B11C3_3,38988,5.075,0
B11C3_4,39661,2.061,0
B12C3_1,33640,3600.04,0.0371282
B12C3_2,35954,432.174,8.344e-05
B12C3_3,37008,8.037,0
B12C3_4,37728,0.823,7.95165e-05
B13C3_1,FAIL
B13C3_2,35911,263.239,5.56932e-05
B13C3_3,36909,8.259,0
B13C3_4,37591,3.629,0
B14C3_1,35932,3600.02,0.0288601
B14C3_2,37974,102.417,0
B14C3_3,39039,2.355,0
B14C3_4,39555,4.893,0
B15C3_1,FAIL
B15C3_2,34192,538.048,0
B15C3_3,35254,10.686,0
B15C3_4,35850,3.262,0
