Name,Obj Fn,Runtime,MIPGAP
B1C6,5340.0000,1800.0290,0.2884
B2C6,4390.0000,1800.0270,0.5346
B3C6,4227.0000,1800.0230,0.4925
B4C6,4706.0000,1800.0280,0.4586
B5C6,2597.0000,1800.0180,1.3689
B6C6,10808.0000,1800.0390,0.1549
B7C6,9807.0000,1800.0390,0.2232
B8C6,10882.0000,1800.0290,0.1457
B9C6,10595.0000,1800.0550,0.1807
B10C6,10297.0000,1800.0500,0.1467
B11C6,11029.0000,1800.0310,0.2488
B12C6,11884.0000,1800.0360,0.1907
B13C6,10751.0000,1800.0200,0.2320
B14C6,11567.0000,1800.0320,0.1443
B15C6,10419.0000,1800.0290,0.2616
