Name,Obj Fn,Runtime,MIPGAP
B1C1,20434,813.569,4.8938e-05
B2C1,20544,1200.01,0.0128505
B3C1,22276,1200.01,0.0164751
B4C1,20862,1200.01,0.0151951
B5C1,20988,1200.01,0.020345
B6C1,40960,1200.02,0.0131104
B7C1,42549,1200.02,0.0110461
B8C1,39972,1200.02,0.0113079
B9C1,42016,1200.02,0.010258
B10C1,43733,1200.01,0.0110671
B11C1,55502,1200.01,0.00416201
B12C1,58316,1200.01,0.00315522
B13C1,63799,1111.73,6.26969e-05
B14C1,59795,1200.01,0.00354545
B15C1,57828,568.652,8.64633e-05
B1C2,13611,1200.01,0.0617148
B2C2,12390,1200.03,0.146166
B3C2,15545,1200.02,0.0454809
B4C2,12908,1200.04,0.0691819
B5C2,13619,1200.02,0.0729128
B6C2,27321,1200.03,0.0609421
B7C2,28170,1200.02,0.0158679
B8C2,27758,1200.02,0.0300092
B9C2,28171,1200.04,0.0519683
B10C2,28422,1200.01,0.0478854
B11C2,40353,1200.02,0.0351151
B12C2,39015,1200.06,0.0233754
B13C2,35661,1200.02,0.0153108
B14C2,40721,1200.02,0.0299845
B15C2,36220,1200.02,0.0147156
B1C3,-1,1200.02
B2C3,-1,1200.01
B3C3,-1,1200.02
B4C3,-1,1200.02
B5C3,-1,1200.02
B6C3,-1,1200.02
B7C3,22066,1200.02,0.058461
B8C3,22867,1200.03,0.0735995
B9C3,-1,1200.03
B10C3,24019,1200.03,0.0617844
B11C3,-1,1200.02
B12C3,-1,1200.01
B13C3,-1,1200.01
B14C3,34409,1200.02,0.05051
B15C3,-1,1200.03
B1C4,10584,1200.01,0.00982615
B2C4,11588,314.278,0
B3C4,11786,89.113,8.48464e-05
B4C4,11622,67.705,0
B5C4,11411,30.457,8.76347e-05
B6C4,21137,234.245,4.73104e-05
B7C4,21889,368.638,0
B8C4,21441,1022.82,9.32792e-05
B9C4,21315,90.117,0
B10C4,21548,90.018,9.2816e-05
B11C4,29191,11.698,0
B12C4,28165,37.193,0
B13C4,29688,11.9,6.73673e-05
B14C4,28908,37.75,0
B15C4,29146,30.745,0
B1C5,6642,1200.02,0.204456
B2C5,7145,1200.02,0.170329
B3C5,6790,1200.03,0.19676
B4C5,6947,1200.03,0.219375
B5C5,5887,1200.03,0.427892
B6C5,14344,1200.02,0.0732013
B7C5,13923,1200.03,0.12052
B8C5,14184,1200.03,0.102298
B9C5,14292,1200.03,0.0864819
B10C5,13994,1200.04,0.113763
B11C5,18394,1200.03,0.0833968
B12C5,18024,1200.02,0.115291
B13C5,18601,1200.02,0.054567
B14C5,18682,1200.04,0.0946901
B15C5,17800,1200.06,0.0978652
B1C6,3569,1200.04,0.979546
B2C6,-1,1200.03
B3C6,-1,1200.02
B4C6,-1,1200.02
B5C6,-1,1200.02
B6C6,10808,1200.03,0.167839
B7C6,-1,1200.05
B8C6,9614,1200.02,0.312045
B9C6,-1,1200.02
B10C6,-1,1200.03
B11C6,-1,1200.02
B12C6,-1,1200.02
B13C6,-1,1200.03
B14C6,10716,1200.02,0.244867
B15C6,-1,1200.02
