Name,Obj Fn,Runtime,MIPGAP
B1
Capacity,13462,12368,11967,12333,14077,12087,12191,12139,13052,13502,11204,13012,13055,10782,12919,12040,12659,13677,11709,11856,12392,12559,13215,13048,10940,12338,12102,12513,11911,13080,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B2
Capacity,12086,12917,13977,13373,12093,11955,13153,13168,12603,12024,12707,11707,13184,12562,12709,12164,12025,11922,11825,12631,11496,13564,11493,12588,12749,12731,12922,11505,11533,11552,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B3
Capacity,11635,13405,11951,12062,11809,13151,11272,11775,12615,12246,11553,13534,11461,11854,10878,11899,12991,12404,11764,13355,12859,13094,13685,13741,12359,12807,12121,11811,11433,12710,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B4
Capacity,12992,12829,12686,12762,11052,12466,13395,12197,12775,12193,12285,12884,13516,12836,13416,11573,11112,13130,12809,12678,11454,12963,11806,12318,13179,11978,12744,11953,11761,13704,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B5
Capacity,12176,12026,10801,13537,12281,12657,11179,12144,10989,13509,12109,13135,12758,13237,13581,12635,13832,13055,12993,11850,12410,13691,12251,11052,12446,11893,12906,12117,12158,11938,
Demand,12718,12444,12525,11838,12344,12091,12951,14075,11245,11553,11791,12517,13592,11699,13757,12269,12037,11395,13722,12817,13427,12096,12102,11666,11231,13147,12453,11173,12521,12755,
B6
Capacity,22714,24862,27746,26132,25072,27537,25033,22093,25823,21638,25103,23826,23975,24770,24044,24335,24925,25729,27273,26059,21428,25148,25306,26163,25799,25927,25822,23327,23998,23456,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B7
Capacity,23307,24391,23702,23024,26005,24398,26533,26083,25099,23900,25485,23501,23758,27383,24140,22273,25230,25739,26403,25566,26851,26055,22741,26080,26871,23667,25307,26255,26260,25943,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B8
Capacity,26260,27025,25353,20423,21801,27803,25571,25057,23284,24242,23950,25767,27937,24260,28375,24405,24963,24938,25390,26130,22794,27212,22649,25417,22954,25662,24486,24032,24052,25164,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B9
Capacity,24481,24255,25826,24004,23210,27328,21706,23524,26825,25551,26319,26549,25719,23092,25936,25803,25141,24033,24446,23621,24153,23321,26653,27508,24806,24083,25659,25899,24700,22582,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B10
Capacity,23475,23387,24793,24331,24247,22505,26171,26170,24521,22906,25449,22307,26822,27818,25032,24117,23903,24550,25312,25049,25539,24006,26562,24166,23843,22290,24774,24281,23845,27023,
Demand,25437,24889,25050,23675,24688,24182,25902,28151,22490,23106,23582,25034,27184,23397,27515,24537,24075,22789,27444,25634,26855,24192,24204,23333,22462,26294,24906,22346,25043,25509,
B11
Capacity,40613,37475,33926,37976,34193,41642,37673,34387,39195,38110,37936,36560,39274,38705,39692,40109,33068,35490,38657,37298,37937,36071,39638,39339,38092,35900,39324,42050,38045,34484,
Demand,38155,37333,37575,35513,37032,36273,38853,42226,33735,34658,35372,37551,40776,35096,41272,36806,36112,34184,41166,38450,40282,36288,36305,34999,33693,39440,37359,33518,37564,38264,
B12
Capacity,39514,37249,38159,34886,34600,39350,41788,37037,38405,37244,36303,37445,39014,41045,37375,36584,37454,36157,38254,40175,39776,37833,37752,38181,38937,36164,37537,40946,41831,39148,
Demand,38155,37333,37575,35513,37032,36273,38853,42226,33735,34658,35372,37551,40776,35096,41272,36806,36112,34184,41166,38450,40282,36288,36305,34999,33693,39440,37359,33518,37564,38264,
B13
Capacity,38695,37917,37974,36620,35243,35302,32101,35873,33561,34371,38819,33707,38654,39748,37925,36468,37345,37546,36086,34543,37289,38794,39023,40482,37374,36780,38540,35808,39619,32935,
Demand,38155,37333,37575,35513,37032,36273,38853,42226,33735,34658,35372,37551,40776,35096,41272,36806,36112,34184,41166,38450,40282,36288,36305,34999,33693,39440,37359,33518,37564,38264,
B14
Capacity,39641,39468,36631,38270,42660,37839,38831,35279,36903,37682,37019,41578,37379,34340,39134,33288,37256,35781,42764,39928,37727,36898,41519,37045,39621,38412,35045,38312,37763,35207,
Demand,38155,37333,37575,35513,37032,36273,38853,42226,33735,34658,35372,37551,40776,35096,41272,36806,36112,34184,41166,38450,40282,36288,36305,34999,33693,39440,37359,33518,37564,38264,
B15
Capacity,32658,35987,33320,33041,36961,39389,40419,38489,35353,36620,39913,37288,31977,34612,34738,39646,36011,38826,37529,37608,41962,34331,39105,35142,35093,38320,35550,39366,37377,38208,
Demand,38155,37333,37575,35513,37032,36273,38853,42226,33735,34658,35372,37551,40776,35096,41272,36806,36112,34184,41166,38450,40282,36288,36305,34999,33693,39440,37359,33518,37564,38264,
