Name,Obj Fn,Runtime,MIPGAP
"1-1000-60-60-1.0-0.25-M.txt",31010,3600.03,0.28852
"1-1000-60-60-1.0-0.25-P.txt",154272,3600.07,0.0664994
"1-1000-60-60-1.0-0.5-M.txt",41607,3600.02,0.320811
"1-1000-60-60-1.0-0.5-P.txt",266480,3600.02,0.0292592
"1-1000-60-60-1.0-0.75-M.txt",32215,3600.02,0.369424
"1-1000-60-60-1.0-0.75-P.txt",376892,3600.02,0.0213722
"10-1000-60-60-1.0-0.25-M.txt",35346,3600.02,0.244752
"10-1000-60-60-1.0-0.25-P.txt",146013,3600.07,0.0551732
"10-1000-60-60-1.0-0.5-M.txt",56244,3600.02,0.136086
"10-1000-60-60-1.0-0.5-P.txt",259728,3600.02,0.0235246
"10-1000-60-60-1.0-0.75-M.txt",37715,3600.03,0.149437
"10-1000-60-60-1.0-0.75-P.txt",354267,3600.02,0.0257772
"2-1000-60-60-1.0-0.25-M.txt",31250,3600.02,0.308032
"2-1000-60-60-1.0-0.25-P.txt",127561,3600.03,0.0907095
