Name,Obj Fn,Runtime,MIPGAP
"2-1000-60-60-1.0-0.5-M.txt",50953,3600.03,0.189135
"2-1000-60-60-1.0-0.5-P.txt",266417,3600.04,0.0515545
"2-1000-60-60-1.0-0.75-M.txt",32300,3600.02,0.249443
"2-1000-60-60-1.0-0.75-P.txt",336009,3600.01,0.0292492
"3-1000-60-60-1.0-0.25-M.txt",27174,3600.03,0.523773
"3-1000-60-60-1.0-0.25-P.txt",145875,3600.03,0.0465741
"3-1000-60-60-1.0-0.5-M.txt",36169,3600.02,0.444967
"3-1000-60-60-1.0-0.5-P.txt",271069,3600.04,0.0257093
"3-1000-60-60-1.0-0.75-M.txt",31956,3600.06,0.282764
"3-1000-60-60-1.0-0.75-P.txt",360913,3600.03,0.0189298
"3-500-30-30-1.0-0.25-M.txt",49404,3600.02,0.0638815
"3-500-30-30-1.0-0.25-P.txt",76918,3600.04,0.029668
"4-1000-60-60-1.0-0.25-M.txt",28264,3600.03,0.476012
"4-1000-60-60-1.0-0.25-P.txt",127186,3600.04,0.105302
"4-1000-60-60-1.0-0.5-M.txt",34975,3600.02,0.549821
"4-1000-60-60-1.0-0.5-P.txt",260860,3600.03,0.0228513
"4-1000-60-60-1.0-0.75-M.txt",35251,3600.04,0.343111
"4-1000-60-60-1.0-0.75-P.txt",362330,3600.03,0.0152896
"5-1000-60-60-1.0-0.25-M.txt",29949,3600.02,0.284684
"5-1000-60-60-1.0-0.25-P.txt",140333,3600.03,0.0544419
"5-1000-60-60-1.0-0.5-M.txt",45244,3600.03,0.204823
"5-1000-60-60-1.0-0.5-P.txt",268543,3600.03,0.030982
"5-1000-60-60-1.0-0.75-M.txt",38486,3600.02,0.214312
"5-1000-60-60-1.0-0.75-P.txt",331885,3600.02,0.0227784
"6-1000-60-60-1.0-0.25-M.txt",32910,3600.03,0.330143
"6-1000-60-60-1.0-0.25-P.txt",140697,3600.03,0.0716078
"6-1000-60-60-1.0-0.5-M.txt",48215,3600.02,0.156196
"6-1000-60-60-1.0-0.5-P.txt",259625,3600.04,0.0249783
"6-1000-60-60-1.0-0.75-M.txt",38317,3600.03,0.162852
"6-1000-60-60-1.0-0.75-P.txt",348351,3600.02,0.016093
"7-1000-60-60-1.0-0.25-M.txt",30157,3600.02,0.399675
"7-1000-60-60-1.0-0.25-P.txt",144680,3600.03,0.0525021
"7-1000-60-60-1.0-0.5-M.txt",43452,3600.03,0.216469
"7-1000-60-60-1.0-0.5-P.txt",262030,3600.03,0.0294202
"7-1000-60-60-1.0-0.75-M.txt",33888,3600.02,0.341891
"7-1000-60-60-1.0-0.75-P.txt",327508,3600.02,0.0317576
"8-1000-60-60-1.0-0.25-M.txt",38611,3600.02,0.156406
"8-1000-60-60-1.0-0.25-P.txt",147220,3600.02,0.0447154
"8-1000-60-60-1.0-0.5-M.txt",41017,3600.02,0.30207
"8-1000-60-60-1.0-0.5-P.txt",248789,3600.02,0.0177058
"8-1000-60-60-1.0-0.75-M.txt",38663,3600.02,0.155885
"8-1000-60-60-1.0-0.75-P.txt",333827,3600.04,0.0294104
"9-1000-60-60-1.0-0.25-M.txt",26839,3600.02,0.50218
"9-1000-60-60-1.0-0.25-P.txt",134023,3600.03,0.0495214
"9-1000-60-60-1.0-0.5-M.txt",48434,3600.04,0.220382
"9-1000-60-60-1.0-0.5-P.txt",261019,3600.02,0.0400003
"9-1000-60-60-1.0-0.75-M.txt",27223,3600.04,0.286155
"9-1000-60-60-1.0-0.75-P.txt",329808,3600.02,0.0378821
