Name,Best known Obj,Obj Fn,Runtime,MIPGAP
18_150_30_30,34010,34010,3600.07399988174,0.00438106439282564
20_200_5_2,24586,24586,3600.14499998093,0.0024404132433092
25_200_30_1,31997,31972,3600.03800010681,0.00497310146378081
27_200_30_30,-17759,-17759,3600.04600000381,0.00484261501210654
35_250_30_15,53324,53331,3600.03600001335,0.00221259680111005
36_250_30_30,-19784,-19784,3600.08299994469,0.00424585523655479
44_500_30_15,81160,81160,3600.06999993324,0.00225480532281912
45_500_30_30,-18054,-18054,3600.0490000248,0.0038218677301429
18_150_30_30,34010,34010,3600.09400010109,0.00455748309320788
20_200_5_2,24586,24586,3600.1400001049,0.0024404132433092
25_200_30_1,31997,31997,3600.07500004768,0.00418700102934553
27_200_30_30,-17759,-17759,3600.0490000248,0.00501154344276142
35_250_30_15,53324,53331,3600.08899998665,0.00228760008250361
36_250_30_30,-19784,-19784,3600.09399986267,0.00424585523655479
44_500_30_15,81160,81160,3600.04500007629,0.00226709705068406
45_500_30_30,-18054,-18054,3600.06699991226,0.0038218677301429
