Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
"2-1000-60-60-1.0-0.75-M.txt",30478,183.994,3416.06,0.324299
"2-1000-60-60-1.0-0.75-P.txt",336473,202.823,3397.2,0.027821
"3-1000-60-60-1.0-0.25-M.txt",30645,84.9346,3515.08,0.35115
"3-1000-60-60-1.0-0.25-P.txt",145757,28.1732,3571.85,0.0474351
"3-1000-60-60-1.0-0.5-M.txt",35552,117.793,3482.23,0.470072
"3-1000-60-60-1.0-0.5-P.txt",270765,80.658,3519.36,0.0268646
"3-1000-60-60-1.0-0.75-M.txt",31941,166.025,3434.01,0.28346
"3-1000-60-60-1.0-0.75-P.txt",354848,156.567,3443.45,0.0363846
"3-500-30-30-1.0-0.25-M.txt",50423,3.93816,3596.08,0.0424211
"3-500-30-30-1.0-0.25-P.txt",76433,5.94711,3594.08,0.0362409
"4-1000-60-60-1.0-0.25-M.txt",23116,53.6954,3546.42,0.804767
"4-1000-60-60-1.0-0.25-P.txt",132127,67.779,3532.26,0.0639527
"4-1000-60-60-1.0-0.5-M.txt",44416,75.6948,3524.34,0.220461
"4-1000-60-60-1.0-0.5-P.txt",259002,68.9587,3531.06,0.0301961
"4-1000-60-60-1.0-0.75-M.txt",35407,113.006,3487.28,0.33725
"4-1000-60-60-1.0-0.75-P.txt",360576,121.115,3478.91,0.0202343
"5-1000-60-60-1.0-0.25-M.txt",27423,79.168,3520.85,0.403129
"5-1000-60-60-1.0-0.25-P.txt",141013,61.0368,3538.98,0.0493997
"5-1000-60-60-1.0-0.5-M.txt",40398,74.5665,3525.47,0.349448
"5-1000-60-60-1.0-0.5-P.txt",271536,132.88,3467.14,0.0196254
"5-1000-60-60-1.0-0.75-M.txt",32368,211.873,3388.16,0.44405
"5-1000-60-60-1.0-0.75-P.txt",329036,130.793,3469.23,0.0316494
"6-1000-60-60-1.0-0.25-M.txt",34746,31.4597,3568.56,0.259915
"6-1000-60-60-1.0-0.25-P.txt",140867,83.8086,3516.23,0.0703146
"6-1000-60-60-1.0-0.5-M.txt",48642,73.0691,3526.95,0.146026
"6-1000-60-60-1.0-0.5-P.txt",261041,138.436,3461.59,0.0194294
"6-1000-60-60-1.0-0.75-M.txt",36434,179.881,3420.15,0.223006
"6-1000-60-60-1.0-0.75-P.txt",347281,143.34,3456.69,0.0192207
"7-1000-60-60-1.0-0.25-M.txt",17915,42.3153,3557.78,1.35641
"7-1000-60-60-1.0-0.25-P.txt",144569,29.0735,3570.95,0.0533165
"7-1000-60-60-1.0-0.5-M.txt",45178,78.4459,3521.58,0.170105
"7-1000-60-60-1.0-0.5-P.txt",260306,140.615,3459.41,0.036238
"7-1000-60-60-1.0-0.75-M.txt",28338,298.155,3301.87,0.604877
"7-1000-60-60-1.0-0.75-P.txt",328673,81.7979,3518.23,0.0281039
"8-1000-60-60-1.0-0.25-M.txt",35869,57.925,3542.15,0.245114
"8-1000-60-60-1.0-0.25-P.txt",146932,49.0678,3550.95,0.0467835
"8-1000-60-60-1.0-0.5-M.txt",35005,70.8372,3529.18,0.525639
"8-1000-60-60-1.0-0.5-P.txt",243741,87.4728,3512.55,0.0388076
"8-1000-60-60-1.0-0.75-M.txt",32789,177.463,3422.64,0.363079
"8-1000-60-60-1.0-0.75-P.txt",329695,168.569,3431.46,0.0423149
"9-1000-60-60-1.0-0.25-M.txt",31423,43.5261,3556.49,0.283041
"9-1000-60-60-1.0-0.25-P.txt",133462,49.4684,3550.55,0.0539629
"9-1000-60-60-1.0-0.5-M.txt",49845,95.1121,3504.91,0.185796
"9-1000-60-60-1.0-0.5-P.txt",262697,84.9021,3515.14,0.0333502
"9-1000-60-60-1.0-0.75-M.txt",28003,164.731,3435.3,0.250187
"9-1000-60-60-1.0-0.75-P.txt",331220,255.856,3344.18,0.0334732
