Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C1,20151,0.0014108,1.011,0.0573173
B2C1,20179,0.0015004,1.006,0.0629367
B3C1,21927,0.0017073,1.005,0.0615223
B4C1,20768,0.0022431,1.004,0.0473806
B5C1,20631,0.0013763,1.002,0.0676652
B6C1,40835,0.0023191,1.002,0.0274764
B7C1,42284,0.0023299,1.003,0.0286633
B8C1,39630,0.0023223,1.007,0.0310119
B9C1,41433,0.0023558,1.002,0.0376994
B10C1,43282,0.0026488,1.002,0.0323229
B11C1,55185,0.0038733,1.002,0.0207303
B12C1,58263,0.003995,1.003,0.014692
B13C1,63698,0.0037393,1.005,0.0179754
B14C1,59795,0.0042224,1.008,0.0152856
B15C1,57716,0.003923,1,0.0171183
B1C2,11708,0.150392,1.002,0.296464
B2C2,10517,0.0699856,1.002,0.428925
B3C2,13787,0.161871,1.002,0.235729
B4C2,10238,0.557758,1.003,0.421274
B5C2,11597,0.0439078,1.003,0.331637
B6C2,26255,0.217005,1.003,0.131746
B7C2,27459,0.184719,1.002,0.0669726
B8C2,24299,0.262359,1.008,0.202354
B9C2,25954,0.309079,1.004,0.16483
B10C2,22676,0.172868,1.008,0.340757
B11C2,39428,1.59712,1.005,0.0828853
B12C2,37141,1.15917,1.003,0.0970356
B13C2,35460,0.156422,1.002,0.0447829
B14C2,39575,0.517449,1.002,0.0806317
B15C2,32137,0.448983,1.003,0.172916
B1C3,8435,0.397841,1.001,0.57297
B2C3,9482,6.38372,1.001,0.357203
B3C3,-1,600.003,1
B4C3,8858,0.47108,1.002,0.543012
B5C3,-1,600.002,1.002
B6C3,19221,1.69858,1.014,0.316477
B7C3,19570,0.933888,1.002,0.225805
B8C3,19269,0.765345,1.003,0.307852
B9C3,18170,3.05029,1.001,0.374463
B10C3,21466,0.526598,1.004,0.218765
B11C3,-1,600,1.002
B12C3,30260,22.6937,1.002,0.147323
B13C3,31035,6.77273,1.008,0.122088
B14C3,34126,1.81954,1.003,0.0855653
B15C3,29491,108.127,1.003,0.130209
B1C4,10370,0.0018702,1.003,0.0904532
B2C4,11546,0.0019211,1.004,0.0564698
B3C4,11704,0.0021468,1.006,0.0524607
B4C4,11455,0.0022805,1.004,0.0654736
B5C4,11078,0.0024605,1.003,0.0699585
B6C4,21094,0.0041221,1.004,0.0245093
B7C4,21754,0.0035721,1.002,0.0269835
B8C4,21238,0.0034321,1.002,0.0343724
B9C4,21181,0.0040263,1.003,0.0295548
B10C4,21442,0.0033847,1.004,0.028169
B11C4,29191,0.0049667,1.008,0.0147648
B12C4,28081,0.0046951,1.003,0.0164514
B13C4,29589,0.0049077,1.008,0.0133158
B14C4,28901,0.0048311,1.007,0.016989
B15C4,29130,0.0047461,1.005,0.0185033
B1C5,4889,0.140509,1.005,0.791368
B2C5,2259,0.118048,1.004,3.21071
B3C5,3937,0.382098,1.003,1.30963
B4C5,1977,0.681854,1.003,3.81285
B5C5,2411,0.457808,1.008,2.89838
B6C5,10369,0.475339,1.006,0.565338
B7C5,11737,0.209084,1.014,0.402743
B8C5,8175,0.362263,1.01,1.01431
B9C5,11802,0.470038,1.005,0.376292
B10C5,10916,0.275767,1.012,0.500641
B11C5,14074,1.14625,1.005,0.496589
B12C5,15205,0.24116,1.005,0.399605
B13C5,13811,0.527281,1.003,0.494678
B14C5,14782,0.295132,1.005,0.459207
B15C5,13659,0.909562,1.002,0.504649
B1C6,3299,1.00889,1.01,1.49197
B2C6,2951,14.2166,1.009,1.86615
B3C6,1485,145.095,1.008,4.17643
B4C6,2268,17.6694,1.002,2.75176
B5C6,-1,600,1.003
B6C6,5505,6.99664,1.002,1.50409
B7C6,6407,1.13276,1.012,1.06212
B8C6,6315,0.945323,1.004,1.17878
B9C6,6622,3.0129,1.004,1.07883
B10C6,4766,1.26084,1.01,1.69073
B11C6,-1,600,1.001
B12C6,9491,1.78906,1.028,0.649668
B13C6,7793,3.25543,1,0.899525
B14C6,7347,7.36782,1.007,1.00299
B15C6,9174,37.1825,1.003,0.591127
