,Solution capacity total,11543,9696,9940,10266,13341,11480,11766,8889,10261,13239,10238,10055,11422,8016,11582,11110,9896,11134,10288,11762,9114,9873,11541,11347,9761,11229,9141,11056,11484,11161,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,10824,11843,10549,9543,11786,9597,9884,13711,7820,9638,9042,10390,13404,10027,11960,10066,12002,8516,10719,9541,8923,12149,10008,10020,9774,9311,10826,9237,11525,11766,
,Demand is Off By:,1894,601,1976,2295,558,2494,3067,364,3425,1915,2749,2127,188,1672,1797,2203,35,2879,3003,3276,4504,0,2094,1646,1457,3836,1627,1936,996,989,


,Solution capacity total,10259,9680,9890,10957,12124,9076,12162,10360,9750,11339,10477,12315,10808,9903,10525,9583,11624,11047,10789,8930,9873,10180,12523,11663,5507,11175,11933,11326,10790,10267,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11609,13234,10216,11103,13239,10411,11948,13495,10019,12840,9522,10606,11943,7849,12903,11406,10681,11696,13727,10570,10872,11479,7521,11998,10541,9446,12003,11047,9484,11519,
,Demand is Off By:,1109,0,2309,735,0,1680,1003,580,1226,0,2269,1911,1649,3850,854,863,1356,0,0,2247,2555,617,4581,0,690,3701,450,126,3037,1236,


,Solution capacity total,13299,11374,10850,11983,11097,10681,9747,10846,13004,10807,10263,10325,10654,10726,12768,11980,11038,11473,9594,11670,11221,12368,10429,9809,9784,9948,11148,9089,10460,11856,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,9007,12275,10627,10362,11719,9636,12457,12887,10905,9942,11661,12914,12345,9590,12281,11511,10467,11610,11345,11769,10554,10654,10736,8909,9732,12122,11517,9356,10062,10400,
,Demand is Off By:,3711,169,1898,1476,625,2455,494,1188,340,1611,130,0,1247,2109,1476,758,1570,0,2377,1048,2873,1442,1366,2757,1499,1025,936,1817,2459,2355,


,Solution capacity total,11253,10238,11144,10055,10908,12032,10832,10129,11531,8859,9010,11058,8769,7622,8941,10426,11029,12117,9885,11818,11445,10186,11619,11340,9894,12287,10837,12261,11908,13057,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11434,8718,9877,12165,9617,11495,10093,10850,9654,8890,9920,10892,10386,14158,14652,10279,9491,9169,11519,10050,13552,10510,12206,9428,9780,13314,9501,9615,11456,12331,
,Demand is Off By:,1284,3726,2648,0,2727,596,2858,3225,1591,2663,1871,1625,3206,0,0,1990,2546,2226,2203,2767,0,1586,0,2238,1451,0,2952,1558,1065,424,


,Solution capacity total,11661,9525,10191,10416,10897,8758,10758,10557,12754,13462,9829,10142,12755,9565,10380,9933,11197,11882,9790,9954,11746,10086,10936,11223,10496,12258,11578,11310,9575,10421,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11179,9180,9851,10130,8790,12013,10304,11461,9078,8034,7902,9838,11806,10216,10875,10249,10205,8479,12653,12054,12296,11036,11199,8866,8669,12546,9504,9888,10986,11339,
,Demand is Off By:,1539,3264,2674,1708,3554,78,2647,2614,2167,3519,3889,2679,1786,1483,2882,2020,1832,2916,1069,763,1131,1060,903,2800,2562,601,2949,1285,1535,1416,


,Solution capacity total,11440,10273,11901,10089,12448,8271,8567,8866,10182,10657,10869,12955,9969,8806,10385,9503,10877,12881,7159,11438,9678,12218,9647,10224,10672,7381,10813,10387,11611,10970,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,10691,9530,8181,10134,10184,8647,9825,12884,9328,7677,8216,10308,11815,9100,10801,8783,12236,10649,11692,10616,11990,8471,9444,11276,9001,10798,10311,10471,11281,10524,
,Demand is Off By:,2027,2914,4344,1704,2160,3444,3126,1191,1917,3876,3575,2209,1777,2599,2956,3486,0,746,2030,2201,1437,3625,2658,390,2230,2349,2142,702,1240,2231,


,Solution capacity total,12259,8120,8998,8857,12413,7525,11341,9683,10872,13259,8797,10858,10840,8413,9141,12029,8738,11442,9146,9338,10425,10645,12299,9960,8098,11164,9788,11090,9181,10280,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,10217,10158,11923,7700,9514,9159,9266,11319,8179,9640,8177,10232,12512,7232,9694,10457,9118,9704,9251,11019,10708,11055,9217,9095,9762,9307,10039,11504,10042,9856,
,Demand is Off By:,2501,2286,602,4138,2830,2932,3685,2756,3066,1913,3614,2285,1080,4467,4063,1812,2919,1691,4471,1798,2719,1041,2885,2571,1469,3840,2414,0,2479,2899,


,Solution capacity total,12856,9977,11912,7798,9459,9199,10259,9186,11703,12253,10184,9878,10153,9258,12345,11277,9622,11112,10676,9265,9495,11597,13164,8413,9578,10541,10374,10889,10472,8203,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,12425,12490,10874,9724,11338,9489,8707,13491,10261,8521,10156,13268,12012,11041,11358,11142,9927,10887,10878,11409,11516,11459,10803,9359,13917,11855,11306,9077,10922,11773,
,Demand is Off By:,293,0,1651,2114,1006,2602,4244,584,984,3032,1635,0,1580,658,2399,1127,2110,508,2844,1408,1911,637,1299,2307,0,1292,1147,2096,1599,982,


