Solution Capacity Totals,Capacity Right Coefficients (required val),Solution Demand totals,Demand Right Coefficients
,Solution capacity total,13596,16034,14941,13601,18783,13208,15899,15503,15630,15001,13074,14346,15350,14480,15270,14801,14686,15607,13858,14746,14990,15032,15095,16722,13881,13649,14820,10775,13366,15468,
,Capacity is Off By:,-134,-3666,-2974,-1268,-4706,-1121,-3708,-3364,-2578,-1499,-1870,-1334,-2295,-3698,-2351,-2761,-2027,-1930,-2149,-2890,-2598,-2473,-1880,-3674,-2941,-1311,-2718,0,-1455,-2388,
,Solution demand total,13028,16393,15818,16223,16326,16307,15518,15119,15153,12868,13979,15207,16661,12947,16941,15206,12167,13296,17288,15052,15833,12365,14714,14561,12087,14973,15112,13061,14886,15352,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


,Solution capacity total,16858,13937,13540,13226,16968,16261,13273,16951,13144,17478,11658,15100,16667,10742,14574,14143,13946,14669,14687,12572,13320,13953,18768,15676,12763,14756,12060,14190,11962,16383,
,Capacity is Off By:,-3396,-1569,-1573,-893,-2891,-4174,-1082,-4812,-92,-3976,-454,-2088,-3612,0,-1655,-2103,-1287,-992,-2978,-716,-928,-1394,-5553,-2628,-1823,-2418,0,-1677,-51,-3303,
,Solution demand total,12839,14112,15839,11993,12770,13718,14558,15858,11773,13155,15569,12656,14595,11964,15036,12318,12553,12772,14552,13552,14515,13496,13364,12144,13596,14567,13813,12814,15131,12834,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


,Solution capacity total,14355,11414,13050,12126,16134,12618,14741,12597,13912,15128,13881,13868,15535,11890,12616,13984,13001,14842,14574,13094,13904,13388,15678,14594,12691,16760,12975,15592,12682,14557,
,Capacity is Off By:,-893,0,-1083,0,-2057,-531,-2550,-458,-860,-1626,-2677,-856,-2480,-1108,0,-1944,-342,-1165,-2865,-1238,-1512,-829,-2463,-1546,-1751,-4422,-873,-3079,-771,-1477,
,Solution demand total,14291,12996,14299,13660,14679,15244,14583,17358,12010,13284,13228,16562,17943,11891,15606,12649,13905,11499,15912,17085,18814,13675,15289,12406,15290,17144,14425,12527,15595,14639,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


,Solution capacity total,17157,14570,14208,14090,16152,15085,15190,13445,14114,16550,12566,16411,18080,12150,17764,15609,14671,17929,14715,13934,15028,15330,15281,17236,13262,14157,12171,16105,13384,15902,
,Capacity is Off By:,-3695,-2202,-2241,-1757,-2075,-2998,-2999,-1306,-1062,-3048,-1362,-3399,-5025,-1368,-4845,-3569,-2012,-4252,-3006,-2078,-2636,-2771,-2066,-4188,-2322,-1819,-69,-3592,-1473,-2822,
,Solution demand total,15645,16416,15100,13175,14043,14501,15066,17455,16268,14530,13516,13696,15823,11700,14881,13629,13990,13796,15229,14975,13730,15738,13348,14626,14391,16566,16120,12542,12958,14777,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


