Name,Obj Fn,Runtime
B1C1,22007,0.00800014
B2C1,21980,0.00399995
B3C1,21779,0.00600004
B4C1,18815,0.00600004
B5C1,22270,0.00600004
B6C1,44101,0.00500011
B7C1,43817,0.00500011
B8C1,42028,0.0059998
B9C1,43223,0.00500011
B10C1,45112,0.00399995
B11C1,57506,0.00600004
B12C1,59219,0.00600004
B13C1,65100,0.00300002
B14C1,62091,0.00600004
B15C1,60340,0.00499988
B1C2,15943,0.00600004
B2C2,12360,0.00699997
B3C2,15386,0.00500011
B4C2,15898,0.0059998
B5C2,14262,0.00399995
B6C2,31072,0.00900006
B7C2,29635,0.00500011
B8C2,30543,0.00600004
B9C2,31106,0.00600004
B10C2,28964,0.00699997
B11C2,42637,0.00399995
B12C2,43114,0.00399995
B13C2,38458,0.00399995
B14C2,42858,0.00800014
B15C2,37319,0.00699997
B1C3,14032,0.00699997
B2C3,12934,0.00699997
B3C3,13530,0.00600004
B4C3,13812,0.00600004
B5C3,15286,0.00600004
B6C3,26247,0.00699997
B7C3,25017,0.00600004
B8C3,25406,0.00699997
B9C3,24630,0.0059998
B10C3,27801,0.00699997
B11C3,36960,0.00600004
B12C3,34802,0.00699997
B13C3,35637,0.0079999
B14C3,37601,0.0059998
B15C3,33639,0.00699997
B1C4,10396,0.00499988
B2C4,12205,0.00499988
B3C4,12263,0.00399995
B4C4,13847,0.00399995
B5C4,11317,0.00399995
B6C4,21361,0.00399995
B7C4,22884,0.00499988
B8C4,23088,0.00500011
B9C4,22730,0.00500011
B10C4,22451,0.00399995
B11C4,29263,0.00500011
B12C4,29368,0.00500011
B13C4,29466,0.00300002
B14C4,29554,0.00500011
B15C4,29903,0.00399995
B1C5,9247,0.00699997
B2C5,10029,0.00600004
B3C5,9307,0.00699997
B4C5,9240,0.0059998
B5C5,10133,0.00600004
B6C5,16876,0.00600004
B7C5,17377,0.00499988
B8C5,16641,0.00499988
B9C5,16402,0.00699997
B10C5,16226,0.00500011
B11C5,21616,0.00499988
B12C5,21451,0.00600004
B13C5,21007,0.00600004
B14C5,22220,0.00500011
B15C5,20635,0.00499988
B1C6,8273,0.00499988
B2C6,9449,0.00800014
B3C6,8505,0.00699997
B4C6,8239,0.00699997
B5C6,9540,0.00600004
B6C6,14119,0.00699997
B7C6,13206,0.00699997
B8C6,15201,0.00600004
B9C6,13075,0.00500011
B10C6,13318,0.00600004
B11C6,16159,0.00600004
B12C6,16109,0.00699997
B13C6,15329,0.0079999
B14C6,15616,0.00600004
B15C6,15468,0.00600004
