Name,Obj Fn,Runtime,MIPGAP
B1C6,4348,600.202,2999.9,0.590156
B2C6,1230,601.285,2998.75,4.50488
B3C6,1658,600.896,2999.15,2.81182
B4C6,3553,600.316,2999.73,0.920912
B5C6,1240,601.193,2998.85,3.92258
B6C6,10069,600.519,2999.55,0.245307
B7C6,9410,600.319,2999.76,0.276514
B8C6,10230,601.159,2998.89,0.224242
B9C6,7972,600.679,2999.39,0.58417
B10C6,9753,600.408,2999.69,0.215523
B11C6,-1,2999.05
B12C6,10992,601.081,2998.97,0.289938
B13C6,7796,600.741,2999.3,0.699076
B14C6,10762,600.427,2999.61,0.234993
B15C6,8739,601.22,2998.81,0.502804
