Name,Obj Fn,Runtime,MIPGAP
B1C3,10717,600.202,2999.86,0.154428
B2C3,9214,601.285,2998.76,0.288257
B3C3,-1,2999.13
B4C3,9730,600.316,2999.73,0.307605
B5C3,-1,2998.85
B6C3,22510,600.519,2999.55,0.0903154
B7C3,21815,600.319,2999.77,0.0704103
B8C3,22570,601.159,2998.95,0.086132
B9C3,21843,600.679,2999.37,0.106396
B10C3,22440,600.408,2999.7,0.136364
B11C3,-1,2999.03
B12C3,31257,601.081,2998.95,0.0800781
B13C3,32066,600.741,2999.29,0.0567268
B14C3,34986,600.427,2999.62,0.0326702
B15C3,30248,601.22,2998.82,0.0684673
