Name,Obj Fn,Runtime,MIPGAP
B1C6,1801,600.202,0.103,3.63243
B2C6,380,601.285,0.107,21.4842
B3C6,1658,600.896,0.103,3.69119
B4C6,1730,600.316,0.105,3.95954
B5C6,1240,601.193,0.105,5.40323
B6C6,7095,600.519,0.104,0.95969
B7C6,5130,600.319,0.111,1.58265
B8C6,6166,601.159,0.104,1.24003
B9C6,5707,600.679,0.105,1.42457
B10C6,6973,600.408,0.108,0.852718
B11C6,-1,0.108
B12C6,8763,601.081,0.108,0.800981
B13C6,7796,600.741,0.107,0.92137
B14C6,7934,600.427,0.111,0.874716
B15C6,-1,0.275
B1C3,9439,600.202,0.105,0.41106
B2C3,8722,601.285,0.109,0.486471
B3C3,9943,600.896,0.107,0.323343
B4C3,8339,600.316,0.105,0.652476
B5C3,8933,601.193,0.108,0.47095
B6C3,20925,600.519,0.108,0.214432
B7C3,19946,600.319,0.113,0.204402
B8C3,21180,601.159,0.109,0.193012
B9C3,19996,600.679,0.111,0.253851
B10C3,20973,600.408,0.113,0.250417
B11C3,-1,0.113
B12C3,30585,601.081,0.11,0.136995
B13C3,30810,600.741,0.104,0.133398
B14C3,32894,600.427,0.114,0.127196
B15C3,29888,601.22,0.109,0.119044
