Name,Obj Fn,Runtime,MIPGAP
B1C2,13611,600.019,0.0639918
B2C2,12218,600.011,0.165494
B3C2,15545,600.012,0.0485043
B4C2,12908,600.012,0.0725902
B5C2,13619,600.009,0.0753359
B6C2,27316,600.012,0.0628203
B7C2,28170,600.015,0.0176429
B8C2,27758,600.015,0.0311262
B9C2,28171,600.016,0.0530333
B10C2,28422,600.01,0.0490817
B11C2,-1,600.008
B12C2,38566,600.021,0.0366126
B13C2,35661,600.012,0.0165166
B14C2,40721,600.021,0.0309423
B15C2,36220,600.006,0.0163722
B1C3,-1,600.017
B2C3,-1,600.015
B3C3,-1,600.015
B4C3,-1,600.013
B5C3,-1,600.015
B6C3,-1,600.016
B7C3,22066,600.017,0.060319
B8C3,22867,600.029,0.0751301
B9C3,-1,600.019
B10C3,24019,600.013,0.0630334
B11C3,-1,600.008
B12C3,-1,600.006
B13C3,-1,600.008
B14C3,34409,600.008,0.0512075
B15C3,-1,600.009
B1C4,10584,600.004,0.0147392
B2C4,11588,225.466,0
B3C4,11786,77.563,8.48464e-05
B4C4,11622,57.061,0
B5C4,11411,22.062,8.76347e-05
B6C4,21137,135.226,4.73104e-05
B7C4,21889,218.991,0
B8C4,21441,600.006,0.00569003
B9C4,21315,81.43,0
B10C4,21548,77.451,9.2816e-05
B11C4,29191,8.155,0
B12C4,28165,24.517,0
B13C4,29688,8.686,6.73673e-05
B14C4,28908,28.458,0
B15C4,29146,18.821,0
B1C5,6642,600.017,0.210027
B2C5,7145,600.012,0.178586
B3C5,6555,600.012,0.245919
B4C5,6947,600.015,0.226573
B5C5,5887,600.012,0.436725
B6C5,14344,600.015,0.0760597
B7C5,13923,600.017,0.123034
B8C5,14184,600.011,0.105048
B9C5,14292,600.017,0.0899104
B10C5,13819,600.008,0.130328
B11C5,18394,600.012,0.0861694
B12C5,18024,600.011,0.118564
B13C5,18601,600.012,0.0568787
B14C5,18682,600.014,0.0965635
B15C5,17800,600.013,0.0998315
B1C6,-1,600.014
B2C6,-1,600.009
B3C6,-1,600.007
B4C6,-1,600.012
B5C6,-1,600.01
B6C6,-1,600.028
B7C6,-1,600.015
B8C6,9614,600.024,0.317662
B9C6,-1,600.018
B10C6,-1,600.023
B11C6,-1,600.012
B12C6,-1,600.014
B13C6,-1,600.024
B14C6,10716,600.01,0.250373
B15C6,-1,600.009
