Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C1,20434,0.0013842,929.117,4.8938e-05
B2C1,20544,0.0025395,1200.01,0.0132399
B3C1,22276,0.0013034,1200.01,0.0162058
B4C1,20862,0.0012969,1200.01,0.0150034
B5C1,20992,0.0013039,1200.01,0.0201029
B6C1,40960,0.0020847,1200.02,0.0131348
B7C1,42549,0.0020901,1200.02,0.0107876
B8C1,39949,0.0022687,1200.01,0.0116899
B9C1,41965,0.0021076,1200.01,0.0118909
B10C1,43733,0.0021008,1200.01,0.01109
B11C1,55502,0.0028814,1200.01,0.00428813
B12C1,58316,0.0028877,1200,0.00312093
B13C1,63799,0.0029532,1200,0.00238248
B14C1,59795,0.0028319,1200.01,0.00359562
B15C1,57828,0.0028028,594.487,6.91706e-05
B1C2,13547,0.14941,1199.87,0.066583
B2C2,11847,0.189223,1199.84,0.202752
B3C2,15373,0.14134,1199.87,0.0565927
B4C2,12428,0.254378,1199.77,0.111281
B5C2,13387,0.161485,1199.86,0.0966609
B6C2,27746,0.238804,1199.78,0.0443668
B7C2,28170,0.257362,1199.77,0.0166489
B8C2,27820,0.242044,1199.79,0.0284328
B9C2,28380,0.0716665,1199.95,0.0439042
B10C2,28399,0.170029,1199.86,0.0496144
B11C2,40493,0.911772,1199.11,0.031561
B12C2,38949,0.390522,1199.64,0.0242625
B13C2,35494,0.75618,1199.27,0.0211022
B14C2,41275,0.348315,1199.67,0.0153354
B15C2,36220,0.669532,1199.35,0.0165654
B1C3,9750,2.15664,1197.87,0.277949
B2C3,9785,8.81869,1191.22,0.222586
B3C3,9332,187.841,1012.18,0.306258
B4C3,10100,2.98546,1197.03,0.26396
B5C3,9217,251.25,948.767,0.31724
B6C3,21550,0.774435,1199.27,0.142645
B7C3,21938,1.26132,1198.77,0.0671894
B8C3,22348,1.53415,1198.51,0.0995615
B9C3,20809,2.03756,1198,0.166514
B10C3,24155,1.10495,1198.94,0.0577934
B11C3,-1,600.005,600.011
B12C3,31030,10.2565,1189.83,0.0904931
B13C3,30839,5.64742,1194.37,0.102014
B14C3,34550,21.613,1178.42,0.0474096
B15C3,29643,40.5932,1159.42,0.0940188
B1C4,10584,0.0012668,1200.01,0.0122827
B2C4,11588,0.0012553,339.879,0
B3C4,11786,0.0016733,93.966,0
B4C4,11622,0.0018537,72.925,0
B5C4,11411,0.0018671,29.233,0
B6C4,21137,0.003082,186.738,4.73104e-05
B7C4,21889,0.0027329,435.051,9.13701e-05
B8C4,21441,0.0021791,1171.02,9.32792e-05
B9C4,21315,0.0020857,318.006,9.38306e-05
B10C4,21548,0.0021816,105.006,0
B11C4,29191,0.0039672,12.323,0
B12C4,28165,0.0036568,37.776,0
B13C4,29688,0.0040772,13.483,6.73673e-05
B14C4,28908,0.0040683,41.806,0
B15C4,29146,0.0042022,28.503,0
B1C5,6980,0.123486,1199.9,0.147564
B2C5,7409,0.138242,1199.87,0.120394
B3C5,7124,0.183859,1199.83,0.141072
B4C5,6193,0.21933,1199.8,0.376554
B5C5,6129,0.184969,1199.83,0.379018
B6C5,13910,0.134813,1199.89,0.109849
B7C5,14225,0.126534,1199.89,0.0967311
B8C5,13996,0.277099,1199.75,0.118748
B9C5,14102,0.11684,1199.9,0.103035
B10C5,13730,0.0992118,1199.94,0.13445
B11C5,17883,0.905241,1199.11,0.116088
B12C5,17469,0.564222,1199.46,0.152098
B13C5,18147,0.474326,1199.55,0.081997
B14C5,19335,0.404769,1199.62,0.0533747
B15C5,18375,0.20918,1199.81,0.0633469
B1C6,4157,0.286784,1199.74,0.695213
B2C6,3035,1.10452,1198.92,1.27908
B3C6,2480,7.33322,1192.69,1.60161
B4C6,4074,0.587047,1199.44,0.712813
B5C6,-1,600,600.015
B6C6,10133,0.634619,1199.39,0.250567
B7C6,7980,1.63681,1198.42,0.525439
B8C6,8650,0.68092,1199.36,0.463353
B9C6,7274,3.70765,1196.33,0.746082
B10C6,7668,3.47401,1196.58,0.557903
B11C6,-1,600.001,600.012
B12C6,11325,28.1131,1171.91,0.26596
B13C6,9300,13.174,1186.85,0.437742
B14C6,10011,6.23782,1193.79,0.341325
B15C6,9055,62.115,1137.9,0.465378
