Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C1,20151,0.0014509,1.004,0.0557789
B2C1,20188,0.0014192,1.001,0.0647414
B3C1,22178,0.0014493,1.003,0.0486518
B4C1,20768,0.0014397,1.003,0.0468991
B5C1,20631,0.0014383,1.003,0.0692647
B6C1,40835,0.0022363,1.003,0.0279662
B7C1,42222,0.0023601,1.003,0.0305291
B8C1,39756,0.0022631,1.003,0.0287504
B9C1,41769,0.0022513,1.002,0.0282746
B10C1,43282,0.0022848,1,0.0320919
B11C1,55290,0.0031409,1.002,0.0190089
B12C1,58054,0.0037369,1.003,0.0175526
B13C1,63168,0.0038441,1.001,0.0260575
B14C1,59768,0.0035503,1.01,0.0162462
B15C1,57716,0.0045466,1.004,0.0172569
B1C2,11387,0.0824224,1.003,0.333977
B2C2,10234,0.183623,1.006,0.466387
B3C2,14678,0.178906,1.002,0.160308
B4C2,10145,0.118096,1.009,0.430655
B5C2,10107,0.382225,1.009,0.529039
B6C2,25538,0.168453,1.003,0.162816
B7C2,27292,0.235182,1.002,0.0724388
B8C2,23271,0.331109,1.003,0.254566
B9C2,25189,0.207212,1.002,0.199929
B10C2,25172,0.258543,1.003,0.208803
B11C2,37759,0.688684,1.003,0.1321
B12C2,36588,0.468528,1.003,0.113261
B13C2,32197,0.310055,1.002,0.150294
B14C2,39456,0.177299,1.003,0.0834094
B15C2,33728,0.517309,1.003,0.117024
B1C3,8543,1.67917,1.003,0.554021
B2C3,-1,5.54266,1.001
B3C3,-1,176.73,1.002
B4C3,8198,3.61231,1.005,0.672725
B5C3,-1,600.002,1.003
B6C3,18968,0.733189,1.007,0.334247
B7C3,19533,0.968013,1.002,0.227052
B8C3,19290,1.97128,1.001,0.306843
B9C3,20118,2.6018,1.002,0.241972
B10C3,20345,2.78723,1.002,0.284886
B11C3,-1,600.001,1.002
B12C3,30177,12.7723,1.002,0.150578
B13C3,30904,15.9836,1.002,0.126359
B14C3,33185,8.06396,1.001,0.115323
B15C3,29355,14.2745,1.001,0.135105
B1C4,10520,0.0013755,1.001,0.0615967
B2C4,11546,0.0020481,1.001,0.0511866
B3C4,11786,0.0014786,1.004,0.0394536
B4C4,11622,0.0014368,1.002,0.0415591
B5C4,11411,0.0014332,1.006,0.031198
B6C4,21137,0.0022675,1.003,0.0200596
B7C4,21870,0.0023116,1.003,0.0204847
B8C4,21238,0.0022838,1.002,0.0332894
B9C4,21159,0.0028883,1.006,0.0276478
B10C4,21301,0.0027144,1.003,0.0323459
B11C4,29191,0.0038422,1.003,0.0108595
B12C4,28037,0.00381,1.004,0.0190106
B13C4,29615,0.0037696,1.004,0.0107716
B14C4,28901,0.0036421,1.003,0.0139788
B15C4,29130,0.0038273,1.002,0.0142122
B1C5,6065,0.121379,1.002,0.44188
B2C5,4519,0.230607,1.003,1.09958
B3C5,2574,0.25447,1.002,2.53069
B4C5,3606,0.326492,1.002,1.63727
B5C5,3900,0.59999,1.002,1.38231
B6C5,8559,0.277529,1.003,0.90326
B7C5,11195,0.122991,1.003,0.46619
B8C5,8825,0.192761,1.003,0.865609
B9C5,9846,0.177432,1.002,0.653666
B10C5,9212,0.12461,1.002,0.781046
B11C5,14012,0.58186,1.005,0.495504
B12C5,15953,0.522097,1.008,0.332101
B13C5,13939,1.39045,1.007,0.474998
B14C5,15361,0.201941,1.008,0.396459
B15C5,15324,0.492116,1.002,0.341229
B1C6,2139,1.2798,1.006,2.82936
B2C6,2497,2.41395,1.001,2.39167
B3C6,-1,33.9061,1.001
B4C6,969,6.57609,1.004,7.75335
B5C6,-1,121.363,1.002
B6C6,8281,0.539031,1.001,0.659341
B7C6,4156,0.792467,1.001,2.17132
B8C6,4047,0.808218,1.005,2.38745
B9C6,6635,0.86306,1.003,1.06797
B10C6,4738,0.540567,1.003,1.70832
B11C6,-1,600.003,1.001
B12C6,9095,5.8338,1.002,0.725454
B13C6,6754,9.32159,1.002,1.1984
B14C6,8365,7.13108,1.005,0.763419
B15C6,7302,8.26882,1.002,1
