Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C6,5340,0.7138,3600.05,0.290075
B2C6,3337,36.6192,3600.03,1.00869
B3C6,2297,47.6728,3600.05,1.73966
B4C6,2562,5.58784,3600.06,1.68774
B5C6,1570,411.587,3600.05,2.85541
B6C6,10067,1.2491,3600.06,0.248634
B7C6,8840,0.792948,3600.08,0.365158
B8C6,10304,1.19016,3600.09,0.214383
B9C6,8545,5.10838,3600.1,0.470919
B10C6,8708,0.966825,3600.1,0.36254
B11C6,-1,600.001,3600.05
B12C6,10184,15.8265,3600.04,0.390416
B13C6,9201,13.2155,3600.05,0.439409
B14C6,10394,6.77874,3600.06,0.275928
B15C6,8039,12.4649,3600.05,0.634532
