Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C1,20170,0.0014509,1.005,0.0539911
B2C1,20188,0.0014192,1.007,0.0649396
B3C1,22178,0.0014493,1.009,0.0491929
B4C1,20768,0.0014397,1.007,0.047525
B5C1,20631,0.0014383,1.005,0.0676652
B6C1,40835,0.0022363,1.029,0.0273785
B7C1,42222,0.0023601,1.003,0.0307896
B8C1,39756,0.0022631,1.001,0.0291023
B9C1,41769,0.0022513,1.004,0.0288252
B10C1,43282,0.0022848,1.002,0.0323229
B11C1,55290,0.0031409,1.003,0.0188273
B12C1,58054,0.0037369,1.002,0.0181038
B13C1,63168,0.0038441,1.002,0.0260575
B14C1,59768,0.0035503,1.001,0.0162462
B15C1,57716,0.0045466,1.005,0.0175861
B1C2,12689,0.0824224,1.003,0.196075
B2C2,10391,0.183623,1.001,0.44298
B3C2,14280,0.178906,1.004,0.187955
B4C2,11366,0.118096,1.004,0.27987
B5C2,10631,0.382225,1.003,0.454144
B6C2,25071,0.168453,1.003,0.183838
B7C2,26763,0.235182,1.009,0.095916
B8C2,25129,0.331109,1.005,0.162999
B9C2,24488,0.207212,1.002,0.23436
B10C2,25755,0.258543,1.002,0.18144
B11C2,37811,0.688684,1.002,0.129407
B12C2,36932,0.468528,1.002,0.102729
B13C2,33282,0.310055,1.009,0.112073
B14C2,39664,0.177299,1.002,0.0785347
B15C2,31603,0.517309,1.003,0.191881
B1C3,8692,1.67917,1.003,0.525196
B2C3,8899,5.54266,1.009,0.446005
B3C3,9028,176.73,1.005,0.443952
B4C3,8810,3.61231,1.003,0.556073
B5C3,-1,600.002,1.005
B6C3,20904,0.733189,1.001,0.210534
B7C3,18561,0.968013,1.001,0.290555
B8C3,19265,1.97128,1.002,0.309888
B9C3,19495,2.6018,1.002,0.281918
B10C3,21447,2.78723,1.007,0.219798
B11C3,-1,600.001,1.001
B12C3,30263,12.7723,1.001,0.146813
B13C3,30248,15.9836,1.001,0.151382
B14C3,33644,8.06396,1.003,0.09871
B15C3,29273,14.2745,1.001,0.138284
B1C4,10520,0.0013755,1.002,0.0615019
B2C4,11546,0.0020481,1.002,0.0511866
B3C4,11786,0.0014786,1.003,0.0394536
B4C4,11622,0.0014368,1.001,0.0414731
B5C4,11411,0.0014332,1.005,0.031198
B6C4,21137,0.0022675,1.002,0.0202015
B7C4,21870,0.0023116,1.002,0.0205304
B8C4,21238,0.0022838,1.003,0.0331952
B9C4,21159,0.0028883,1.032,0.0277423
B10C4,21301,0.0027144,1.004,0.0323459
B11C4,29191,0.0038422,1.007,0.0108253
B12C4,28037,0.00381,1.004,0.0190106
B13C4,29615,0.0037696,1.003,0.0109404
B14C4,28901,0.0036421,1.006,0.0139788
B15C4,29130,0.0038273,1.007,0.0142465
B1C5,3656,0.121379,1.002,1.39633
B2C5,4623,0.230607,1.001,1.06641
B3C5,4539,0.25447,1.007,0.995153
B4C5,3577,0.326492,1.005,1.61784
B5C5,3657,0.59999,1.007,1.56494
B6C5,11320,0.277529,1.003,0.43613
B7C5,10873,0.122991,1.003,0.511082
B8C5,10093,0.192761,1.002,0.63123
B9C5,9640,0.177432,1.001,0.688485
B10C5,10323,0.12461,1.002,0.589848
B11C5,13741,0.58186,1.002,0.529365
B12C5,15031,0.522097,1.001,0.412481
B13C5,14928,1.39045,1.002,0.380024
B14C5,17791,0.201941,1.002,0.212579
B15C5,14601,0.492116,1.005,0.404013
B1C6,815,1.2798,1.002,9.06871
B2C6,3623,2.41395,1.002,1.305
B3C6,3085,33.9061,1.005,1.49206
B4C6,2940,6.57609,1.002,1.90034
B5C6,1570,121.363,1.002,3.9414
B6C6,5197,0.539031,1.002,1.64345
B7C6,5104,0.792467,1.009,1.58503
B8C6,5782,0.808218,1.004,1.36544
B9C6,5287,0.86306,1.002,1.60356
B10C6,3959,0.540567,1.003,2.23844
B11C6,-1,600.003,1.001
B12C6,9929,5.8338,1.002,0.577802
B13C6,9126,9.32159,1.006,0.631273
B14C6,8346,7.13108,1.001,0.766475
B15C6,8913,8.26882,1.001,0.640974
