Solution Capacity Totals,Capacity Right Coefficients (required val),Solution Demand totals,Demand Right Coefficients
,Solution capacity total,10702,12059,10050,10939,10999,11254,11347,11037,11931,12025,10636,10382,11193,8791,11785,9460,10712,13217,11290,10330,10135,9349,11991,11881,9859,10840,10362,12295,11473,11915,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11638,10508,10591,12633,8078,10389,8294,11631,7690,8162,10724,11643,12360,11621,13132,8552,8649,10128,12590,14179,11948,14448,9870,8027,9440,11692,10969,10263,8321,12706,
,Demand is Off By:,1080,1936,1934,0,4266,1702,4657,2444,3555,3391,1067,874,1232,78,625,3717,3388,1267,1132,0,1479,0,2232,3639,1791,1455,1484,910,4200,49,


,Solution capacity total,12747,10072,8206,10170,12101,9981,10862,12088,10176,11041,8353,10913,9666,7355,8959,11984,10179,11282,8362,9723,11308,10620,12944,9590,10576,10291,9591,8476,8984,11075,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11338,10918,12626,11556,9081,10409,12151,12327,10756,9698,10937,10043,10739,9874,12335,9140,10441,8752,8843,8326,10628,8866,8431,10359,10461,10416,10381,9771,13035,11259,
,Demand is Off By:,1380,1526,0,282,3263,1682,800,1748,489,1855,854,2474,2853,1825,1422,3129,1596,2643,4879,4491,2799,3230,3671,1307,770,2731,2072,1402,0,1496,


,Solution capacity total,10910,11071,9020,11007,13185,9849,8994,9544,7584,11992,9900,12287,12096,7441,9360,10798,10918,12789,10414,11698,10795,10423,9776,11425,10679,10507,11862,10761,9500,12577,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,8218,8040,10541,7238,9102,10749,11808,11916,7513,10603,10979,10272,12236,10020,11659,9825,11196,10229,10632,12594,13541,11284,9492,9280,9919,11234,12221,9806,10280,8121,
,Demand is Off By:,4500,4404,1984,4600,3242,1342,1143,2159,3732,950,812,2245,1356,1679,2098,2444,841,1166,3090,223,0,812,2610,2386,1312,1913,232,1367,2241,4634,


,Solution capacity total,10075,11298,9882,10014,11732,10515,9931,11096,12811,9874,8091,13003,11154,10302,9914,9303,11963,12111,10378,10853,12133,8604,8814,13015,10480,10722,10864,9349,11006,12154,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11602,9731,10529,11128,8926,10079,11446,10679,11568,9322,9841,8723,11823,7705,13772,10445,9050,9371,11458,10162,10724,7650,9670,9441,7753,12599,8778,8895,11880,10802,
,Demand is Off By:,1116,2713,1996,710,3418,2012,1505,3396,0,2231,1950,3794,1769,3994,0,1824,2987,2024,2264,2655,2703,4446,2432,2225,3478,548,3675,2278,641,1953,


,Solution capacity total,9371,8406,10480,11305,11324,10428,9493,11099,12565,12331,7842,12385,11233,9444,10717,9797,8957,10340,10313,8441,8528,12494,9606,11891,9700,9945,9479,11603,9152,12666,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11061,12746,9792,10619,13853,10565,11402,13915,8203,11994,9529,11169,10138,10617,10996,10640,10588,9134,11678,11259,10874,9888,8383,12558,11380,10983,12270,7270,10251,10770,
,Demand is Off By:,1657,0,2733,1219,0,1526,1549,160,3042,0,2262,1348,3454,1082,2761,1629,1449,2261,2044,1558,2553,2208,3719,0,0,2164,183,3903,2270,1985,


,Solution capacity total,10778,10923,9889,8914,10551,10361,10573,10190,13031,11119,10656,7885,12361,9145,10426,8654,9653,11947,10377,8796,7615,10503,11423,12730,9374,9858,10509,11260,11288,9546,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,9238,9982,9457,10137,12316,7952,11664,12599,10631,9304,9440,11037,13280,8794,11034,10819,7970,8372,11857,13235,9661,11644,11628,11413,9227,9462,10218,10449,11429,11738,
,Demand is Off By:,3480,2462,3068,1701,28,4139,1287,1476,614,2249,2351,1480,312,2905,2723,1450,4067,3023,1865,0,3766,452,474,253,2004,3685,2235,724,1092,1017,


,Solution capacity total,11745,9505,8497,10148,10440,11317,10785,10788,10857,9544,7601,11859,9895,10748,12134,9008,8232,10819,8611,8695,11682,10164,11081,10972,7094,7948,8032,10809,6977,9806,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,10722,10763,7974,8657,12200,10157,8454,11715,11404,9767,9413,9369,10146,10476,10723,8714,9897,8907,11835,7530,10198,8911,8550,8434,8319,11171,9294,9826,9964,9814,
,Demand is Off By:,1996,1681,4551,3181,144,1934,4497,2360,0,1786,2378,3148,3446,1223,3034,3555,2140,2488,1887,5287,3229,3185,3552,3232,2912,1976,3159,1347,2557,2941,


,Solution capacity total,10866,9783,11910,11686,12220,11225,11256,10598,12027,10699,9840,12875,9983,10647,11471,9771,10136,11940,10674,10358,10635,11850,11665,10136,7466,9651,9970,9783,9597,9260,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,10663,11171,9475,10267,13397,9952,12415,11419,8576,11950,9897,10721,12591,10964,12614,8827,9354,10372,9661,9739,12312,11188,9051,9433,9691,12039,9751,9046,9635,11724,
,Demand is Off By:,2055,1273,3050,1571,0,2139,536,2656,2669,0,1894,1796,1001,735,1143,3442,2683,1023,4061,3078,1115,908,3051,2233,1540,1108,2702,2127,2886,1031,


,Solution capacity total,12585,10468,11107,10214,12577,10010,11834,11793,12565,13102,9932,12385,12047,10428,12297,9975,11035,11085,11553,10532,11276,11790,11766,12841,10118,11930,10781,11479,9789,9673,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,12370,11268,12921,11897,10736,9176,11467,13802,10094,9384,9106,12903,12329,12587,10844,10055,8714,9803,12286,15197,13189,9524,9810,10405,10292,10934,10553,11160,11045,12477,
,Demand is Off By:,348,1176,0,0,1608,2915,1484,273,1151,2169,2685,0,1263,0,2913,2214,3323,1592,1436,0,238,2572,2292,1261,939,2213,1900,13,1476,278,


,Solution capacity total,11085,11501,10362,10394,13482,11231,10839,9640,11811,9689,8194,10237,12110,8003,11974,9580,10149,11194,11603,11267,9173,11261,12067,12588,7672,12106,9036,10347,9009,12881,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,9453,13713,11685,10871,12732,12866,10884,11863,11091,11147,10303,10963,12061,10059,11303,8472,10473,10767,11957,11547,14364,9428,10701,10573,11313,12998,9722,10749,10468,11197,
,Demand is Off By:,3265,0,840,967,0,0,2067,2212,154,406,1488,1554,1531,1640,2454,3797,1564,628,1765,1270,0,2668,1401,1093,0,149,2731,424,2053,1558,


,Solution capacity total,13095,11199,10420,10686,10583,10170,9848,11976,10411,11683,10907,11687,10638,9094,10302,10250,12453,13249,9314,11716,9994,10694,11456,11187,10198,10721,11171,9870,11259,12286,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,13540,9267,12624,12905,6670,12552,11608,11607,11897,8314,10237,8883,11710,12012,13625,10642,11328,9456,12040,10600,11139,9038,12279,8724,9453,12496,7855,9241,11660,12569,
,Demand is Off By:,0,3177,0,0,5674,0,1343,2468,0,3239,1554,3634,1882,0,132,1627,709,1939,1682,2217,2288,3058,0,2942,1778,651,4598,1932,861,186,


,Solution capacity total,13231,10179,8973,8691,10413,9075,10338,10135,10015,11466,9377,9350,11218,8435,9211,11036,10987,11211,8382,9691,10461,9186,11465,8654,10604,12228,11598,12274,9741,11538,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,7945,11104,9861,9030,9037,10723,10067,12465,9027,10275,10537,9430,10662,10273,11437,10757,11276,10254,10098,12634,13096,10882,11018,11807,10878,13460,10984,7560,13975,11338,
,Demand is Off By:,4773,1340,2664,2808,3307,1368,2884,1610,2218,1278,1254,3087,2930,1426,2320,1512,761,1141,3624,183,331,1214,1084,0,353,0,1469,3613,0,1417,


,Solution capacity total,11767,8889,8804,9732,10327,8991,9191,11702,11529,11707,10901,12819,12280,7588,10738,9970,8379,10749,10966,8029,10587,9358,10829,9617,9431,12015,10900,9223,9048,11499,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,9207,9111,9655,10036,9267,8266,10862,14033,9690,11645,9571,9664,11679,9048,13282,7356,9429,10113,9662,10700,12356,11108,8676,8142,8969,11852,11251,8944,11431,8868,
,Demand is Off By:,3511,3333,2870,1802,3077,3825,2089,42,1555,0,2220,2853,1913,2651,475,4913,2608,1282,4060,2117,1071,988,3426,3524,2262,1295,1202,2229,1090,3887,


,Solution capacity total,10376,11557,8844,7068,10610,10740,12146,10311,10677,10483,11116,10295,11352,9083,11212,11160,9691,12202,11612,9733,8651,11106,10935,11211,8961,10569,10258,12251,11467,10453,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,9916,10892,7707,8965,11276,10278,10455,12371,10092,11617,9452,12080,12347,10606,11214,9490,9429,7860,13907,10648,10141,10651,11363,10125,8736,11934,12550,8621,8903,11740,
,Demand is Off By:,2802,1552,4818,2873,1068,1813,2496,1704,1153,0,2339,437,1245,1093,2543,2779,2608,3535,0,2169,3286,1445,739,1541,2495,1213,0,2552,3618,1015,


,Solution capacity total,11134,10061,10361,10344,11650,11969,10694,11440,11704,11898,7269,10499,12023,10751,10719,9460,10024,12650,10593,9478,9117,9863,9716,11838,10729,12222,11098,11685,9488,9946,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,9070,11879,9243,9332,12085,10401,10320,12184,10537,9960,11121,9073,12483,12120,11664,9192,8753,10434,9902,11164,10556,9790,9000,11722,9862,12495,10504,8166,10430,12887,
,Demand is Off By:,3648,565,3282,2506,259,1690,2631,1891,708,1593,670,3444,1109,0,2093,3077,3284,961,3820,1653,2871,2306,3102,0,1369,652,1949,3007,2091,0,


,Solution capacity total,10423,11690,11164,11443,12006,10102,10003,7964,8836,12270,11200,12582,10308,7366,11584,10748,9929,10744,10187,10976,11730,10400,9543,9771,9780,9373,7703,7326,9895,9480,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11213,7734,9298,8099,11003,8248,11115,11207,9688,8612,7433,11371,11412,11475,10680,10271,8723,7408,8959,11474,10481,9460,8999,8710,8036,10364,8710,9846,9198,8397,
,Demand is Off By:,1505,4710,3227,3739,1341,3843,1836,2868,1557,2941,4358,1146,2180,224,3077,1998,3314,3987,4763,1343,2946,2636,3103,2956,3195,2783,3743,1327,3323,4358,


,Solution capacity total,10879,11995,10220,9522,11937,12043,11320,11715,12965,8857,9463,12502,10087,9208,10277,11332,9666,13095,10949,11242,11179,9016,9772,10675,10926,11021,10457,9808,10090,12181,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,11369,9960,10735,8803,12101,12399,11953,10339,10555,10018,10514,9686,10754,10292,11436,9770,11056,9382,9522,12015,11497,9011,11362,7820,10863,13239,11187,7681,10290,11426,
,Demand is Off By:,1349,2484,1790,3035,243,0,998,3736,690,1535,1277,2831,2838,1407,2321,2499,981,2013,4200,802,1930,3085,740,3846,368,0,1266,3492,2231,1329,


,Solution capacity total,11820,10455,9976,10017,12726,8424,9777,9233,10678,13032,10899,10529,11336,8767,12805,11483,9175,12228,10899,9126,10728,10482,11610,10173,10844,12240,11095,9185,11073,12357,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,7565,10960,9288,10568,10405,8727,11649,12251,7632,9104,9980,10467,11760,8884,12096,8392,11184,8729,11803,12739,12794,11857,9773,11260,9473,12697,10655,11778,9495,10391,
,Demand is Off By:,5153,1484,3237,1270,1939,3364,1302,1824,3613,2449,1811,2050,1832,2815,1661,3877,853,2666,1919,78,633,239,2329,406,1758,450,1798,0,3026,2364,


,Solution capacity total,9067,10673,10046,10347,11566,9512,10723,9797,9746,9933,9560,10246,11677,10708,10408,9286,8673,12704,8847,10105,10195,8570,10684,11645,7805,10000,11547,11424,11702,11994,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,Solution Demand Total,10087,10387,11654,9851,8724,11721,9302,10439,6126,7899,9736,7783,10860,8477,10981,9041,10610,10111,11350,10136,9727,9569,9678,7297,10270,10360,10381,9608,9405,11222,
,Demand is Off By:,2631,2057,871,1987,3620,370,3649,3636,5119,3654,2055,4734,2732,3222,2776,3228,1427,1284,2372,2681,3700,2527,2424,4369,961,2787,2072,1565,3116,1533,


,Solution capacity total,9637,9691,8952,9917,9155,11095,12164,10562,10442,11967,8595,11430,12836,7765,10432,9208,9640,8870,8821,8394,12221,10972,11670,10112,8001,10987,9231,9769,7368,9972,
,Capacity is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
