Solution Capacity Totals,Capacity Right Coefficients (required val),Solution Demand totals,Demand Right Coefficients
,Solution Capacity Total,13233,13409,13611,11782,16070,12808,14768,14702,13348,17136,13352,15440,15955,12036,14327,15021,12548,13848,15320,12445,12934,15650,16082,14975,12005,16391,11630,12670,13995,14659,
,Capacity is Off By:,0,-1041,-1644,0,-1993,-721,-2577,-2563,-296,-3634,-2148,-2428,-2900,-1254,-1408,-2981,0,-171,-3611,-589,-542,-3091,-2867,-1927,-1065,-4053,0,-157,-2084,-1579,
,Solution Demand Total,15375,14696,13083,12532,17737,14189,18150,14128,13944,16152,14975,14718,15225,11739,14552,15097,14774,11729,17351,14379,14776,13685,13301,14341,13737,15600,15153,13837,13185,14900,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


,Solution Capacity Total,14457,17080,16272,10857,16562,12246,16119,12747,16613,15521,14432,15443,15440,12626,15851,14826,14283,16209,15365,15658,14078,14194,13280,17479,13751,15248,13492,15060,13878,15214,
,Capacity is Off By:,-995,-4712,-4305,0,-2485,-159,-3928,-608,-3561,-2019,-3228,-2431,-2385,-1844,-2932,-2786,-1624,-2532,-3656,-3802,-1686,-1635,-65,-4431,-2811,-2910,-1390,-2547,-1967,-2134,
,Solution Demand Total,17179,15803,15413,15262,14689,13964,12955,14964,14859,12704,14698,15795,15135,13879,16029,15344,14527,14115,18366,16272,15361,13728,14733,12907,15160,15379,13643,11873,13469,15006,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


,Solution Capacity Total,17053,12526,12603,16533,15128,16107,14752,10844,15401,14124,12539,15074,16777,10791,16441,14158,12304,15260,13311,15945,14611,12762,14859,15496,11583,15059,10904,15177,14110,15848,
,Capacity is Off By:,-3591,-158,-636,-4200,-1051,-4020,-2561,0,-2349,-622,-1335,-2062,-3722,-9,-3522,-2118,0,-1583,-1602,-4089,-2219,-203,-1644,-2448,-643,-2721,0,-2664,-2199,-2768,
,Solution Demand Total,14018,14590,13064,14553,13090,14561,15761,16306,14734,12513,13658,12938,15682,13882,16885,12447,14187,12591,16382,13042,14539,14059,13979,13513,11504,17655,15192,12446,15539,15679,
,Demand is Off By:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


,Solution Capacity Total,14990,15092,14077,14210,16786,12644,13232,13888,13437,14759,11215,14197,14324,11436,12334,15205,12358,15166,14372,12920,14016,15272,15843,13477,12916,15562,15703,12162,13232,14594,
,Capacity is Off By:,-1528,-2724,-2110,-1877,-2709,-557,-1041,-1749,-385,-1257,-11,-1185,-1269,-654,0,-3165,0,-1489,-2663,-1064,-1624,-2713,-2628,-429,-1976,-3224,-3601,0,-1321,-1514,
