Name,Obj Fn,Runtime,MIPGAP
B1C1,20151,1.004,0.0557789
B2C1,20188,1.004,0.0649396
B3C1,21758,1.003,0.0704109
B4C1,20768,1.005,0.0461768
B5C1,20631,1.002,0.067956
B6C1,40835,1.002,0.0272071
B7C1,42284,1.005,0.0286633
B8C1,39756,1.011,0.0291023
B9C1,41439,1.005,0.0363667
B10C1,43282,1.012,0.0329467
B11C1,55250,1.005,0.0194027
B12C1,58194,1.004,0.0146579
B13C1,63409,1.003,0.0191929
B14C1,59795,1.003,0.0152856
B15C1,57716,1.002,0.0171183
B1C2,11871,1.002,0.276135
B2C2,10148,1.001,0.468368
B3C2,13606,1.002,0.254153
B4C2,10680,1.002,0.354307
B5C2,10486,1.002,0.469865
B6C2,24671,1.003,0.202951
B7C2,27097,1.005,0.0798612
B8C2,27088,1.002,0.078005
B9C2,25160,1.003,0.201153
B10C2,24731,1.007,0.229671
