Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C1,20434,0.0051307,100.003,0.0161985
B2C1,20544,0.0022466,100.004,0.0213201
B3C1,22183,0.0023356,100.005,0.0289401
B4C1,20862,0.0023806,100.004,0.0237753
B5C1,20988,0.0133466,100.003,0.0286354
B6C1,40954,0.0034033,100.003,0.0162866
B7C1,42507,0.0098586,100.004,0.0151504
B8C1,39972,0.0033068,100.005,0.014235
B9C1,42016,0.0104065,100.004,0.0136377
B10C1,43501,0.003412,100.005,0.0196777
B11C1,55448,0.0044016,100.003,0.00827803
B12C1,58316,0.0138441,100.005,0.00553879
B13C1,63799,0.010835,100.004,0.00564272
B14C1,59795,0.0170746,100.006,0.00658918
B15C1,57828,0.013698,100.004,0.00598326
B1C2,13328,0.0972353,100.007,0.10069
B2C2,11344,0.16079,100.004,0.273625
B3C2,15068,0.133577,100.005,0.0935094
B4C2,12131,0.229229,100.004,0.154398
B5C2,13659,0.247204,100.005,0.0880738
B6C2,27530,0.348062,100.006,0.0609517
B7C2,27799,0.276846,100.004,0.0359725
B8C2,27404,0.483992,100.005,0.0492264
B9C2,28160,0.250689,100.004,0.0583452
B10C2,27999,0.368678,100.003,0.0702882
B11C2,39978,1.43276,100.005,0.0516784
B12C2,38180,0.997824,100.004,0.0509429
B13C2,35031,0.283909,100.006,0.0410494
B14C2,40418,0.253268,100.009,0.0430006
B15C2,36220,0.604401,100.004,0.0218388
B1C3,9472,0.69996,100.007,0.340477
B2C3,9029,2.38326,100.007,0.354303
B3C3,8510,69.569,100.005,0.460047
B4C3,9256,14.8446,100.005,0.413894
B5C3,8933,137.434,100.006,0.388895
B6C3,21194,1.00447,100.006,0.170237
B7C3,21748,1.6666,100.008,0.0823064
B8C3,20217,1.81732,100.007,0.224811
B9C3,19023,6.47604,100.056,0.285707
B10C3,22609,0.755533,100.008,0.136892
B11C3,-1,200.009,100.009
B12C3,30660,12.7886,100.004,0.112785
B13C3,30893,33.0817,100.006,0.107889
B14C3,34427,2.33085,100.005,0.0570192
B15C3,29725,67.3496,100.004,0.100117
B1C4,10584,0.0023121,100.003,0.0257937
B2C4,11588,0.0065171,100.004,0.0138074
B3C4,11786,0.002256,79.031,0
B4C4,11622,0.005426,57.428,0
B5C4,11411,0.010474,19.186,0
B6C4,21137,0.020563,100.002,0.00439987
B7C4,21889,0.0110526,100.013,0.00694413
B8C4,21441,0.0033488,100.004,0.0098876
B9C4,21315,0.003376,100.015,0.000516068
B10C4,21548,0.0034006,74.808,4.6408e-05
B11C4,29191,0.0107117,6.619,0
B12C4,28165,0.0057138,17.609,7.10101e-05
B13C4,29688,0.015298,8.276,6.73673e-05
B14C4,28908,0.0219087,27.156,0
B15C4,29146,0.0136901,16.414,0
B1C5,6286,0.0477513,100.006,0.304327
B2C5,5780,0.202541,100.004,0.502422
B3C5,6477,0.268321,100.005,0.293191
B4C5,5962,0.452773,100.006,0.474841
B5C5,5857,0.17217,100.006,0.482841
B6C5,12717,0.199797,100.006,0.232838
B7C5,14080,0.297721,100.005,0.120668
B8C5,13932,0.318098,100.006,0.138602
B9C5,13364,0.296473,100.004,0.179662
B10C5,13265,0.127466,100.007,0.190049
B11C5,17272,0.419329,100.004,0.174849
B12C5,17187,0.485973,100.006,0.187584
B13C5,17721,0.663357,100.005,0.121381
B14C5,18722,0.131144,100.004,0.105972
B15C5,17190,0.782771,100.005,0.15224
B1C6,5096,0.356631,100.006,0.434655
B2C6,2749,8.28357,100.005,1.67988
B3C6,2206,46.5592,100.006,2.10018
B4C6,2485,4.5242,100.007,1.99517
B5C6,-1,200.002,100.019
B6C6,5213,1.30039,100.005,1.4836
B7C6,8289,0.6471,100.005,0.501991
B8C6,9402,1.19307,100.012,0.37492
B9C6,4812,7.40319,100.005,1.70283
B10C6,8173,0.848801,100.009,0.48856
B11C6,-1,200.005,100.002
B12C6,9655,12.6675,100.007,0.521906
B13C6,8375,21.3966,100.006,0.65003
B14C6,9199,5.37895,100.006,0.498859
B15C6,8417,11.0371,100.006,0.628252
