Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C1,20151,0.0013976,1.004,0.0557789
B2C1,20179,0.0014927,1.007,0.0626394
B3C1,21927,0.0014272,1.006,0.0614767
B4C1,20768,0.001872,1.002,0.0463694
B5C1,20631,0.0013789,1.003,0.0674228
B6C1,40637,0.0022934,1.004,0.0329749
B7C1,42284,0.0022373,1.003,0.0286633
B8C1,39630,0.0023079,1.002,0.0312137
B9C1,41433,0.0023451,1.006,0.0371443
B10C1,43282,0.0023746,1.014,0.0335936
B11C1,55095,0.0038716,1.004,0.0229422
B12C1,58263,0.0037131,1.003,0.0139025
B13C1,63698,0.0036898,1.002,0.0179754
B14C1,59795,0.0038191,1.002,0.0152856
B15C1,57716,0.0038461,1.003,0.0171183
B1C2,10966,0.200141,1.003,0.384005
B2C2,11120,0.0935253,1.001,0.348651
B3C2,12801,0.320513,1.003,0.327787
B4C2,10398,0.215741,1.002,0.399404
B5C2,10887,0.394087,1.003,0.419583
B6C2,22342,0.229395,1.004,0.32938
B7C2,25537,0.121869,1.003,0.148138
B8C2,26508,0.331928,1.002,0.101742
B9C2,24583,0.373072,1.003,0.229549
B10C2,23233,0.440486,1.002,0.309904
B11C2,36449,0.497975,1.003,0.172625
B12C2,34882,0.530897,1.003,0.167565
B13C2,32311,2.54765,1.003,0.145895
B14C2,37154,0.343149,1.003,0.150778
B15C2,33409,0.309277,1.003,0.12763
B1C3,7915,4.78439,1.003,0.677195
B2C3,9137,130.993,1.001,0.407902
B3C3,-1,600.001,1.002
B4C3,8950,77.2042,1,0.527374
B5C3,9131,67.172,1.002,0.427445
B6C3,19642,1.42087,1.005,0.288056
B7C3,19037,1.3414,1.01,0.259862
B8C3,20134,2.53157,1.006,0.252111
B9C3,19713,2.0553,1.003,0.267539
B10C3,21495,1.74385,1.003,0.216981
B11C3,-1,600.004,1.003
B12C3,30388,432.975,1.011,0.141865
B13C3,30684,19.3935,1.006,0.134728
B14C3,33915,36.1328,1.002,0.0921716
B15C3,-1,600.003,1.001
B1C4,10370,0.0018664,1.003,0.0904532
B2C4,11546,0.0021738,1.006,0.0565564
B3C4,11704,0.0021219,1.007,0.0518626
B4C4,11455,0.0021619,1.004,0.0654736
B5C4,11078,0.0020856,1.003,0.0699585
B6C4,21094,0.0036562,1.005,0.0243671
B7C4,21754,0.0036801,1.003,0.0269835
B8C4,21238,0.0035668,1.004,0.0337602
B9C4,21181,0.0037972,1.003,0.0295548
B10C4,21442,0.0034496,1.002,0.028169
B11C4,29191,0.0045719,1.006,0.0147648
B12C4,28081,0.0072499,1.007,0.0167017
B13C4,29589,0.0047015,1.004,0.013113
B14C4,28901,0.0050382,1.005,0.016989
B15C4,29130,0.0049429,1.01,0.0167182
B1C5,5126,0.208878,1.009,0.70874
B2C5,3966,0.399937,1.002,1.38805
B3C5,4105,0.193144,1,1.21023
B4C5,4303,1.32328,1.003,1.21102
B5C5,3371,0.449875,1.002,1.79858
B6C5,9141,0.643801,1.011,0.778361
B7C5,11233,0.272663,1.003,0.463812
B8C5,10450,0.319107,1.002,0.57311
B9C5,10721,0.431488,1.005,0.51665
B10C5,9471,0.264705,1.013,0.730335
B11C5,16636,0.56774,1.005,0.264126
B12C5,15532,0.566721,1.013,0.370139
B13C5,14634,0.740549,1.002,0.409799
B14C5,13497,0.531648,1.003,0.596207
B15C5,14702,0.801531,1.003,0.397701
B1C6,3462,5.94752,1.005,1.37897
B2C6,3010,66.5237,1.004,1.80797
B3C6,2933,316.588,1.002,1.61712
B4C6,2793,85.2067,1.002,2.04869
B5C6,-1,600.002,1.002
B6C6,4729,0.516856,1.003,1.90675
B7C6,6104,1.4488,1.002,1.15793
B8C6,6256,1.08996,1.009,1.19086
B9C6,6974,21.9092,1.002,0.97548
B10C6,6525,0.900997,1.001,0.958161
B11C6,-1,600.007,1.001
B12C6,8593,446.997,1.001,0.826603
B13C6,6526,596.029,1.008,1.2775
B14C6,8069,7.42635,1.008,0.833561
B15C6,7302,443.44,1.002,1
