Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C3,10825,0.518572,3599.56,0.143649
B2C3,9362,30.6363,3569.4,0.267037
B3C3,11195,122.62,3477.42,0.0761054
B4C3,9953,2.03113,3598.01,0.272682
B5C3,9104,1510.16,2089.87,0.324033
B6C3,22403,0.51527,3599.56,0.0947195
B7C3,21840,1.48922,3598.61,0.0699176
B8C3,22438,1.26611,3598.84,0.0930119
B9C3,21901,1.28197,3598.8,0.103831
B10C3,24053,1.07702,3599.01,0.0597015
B11C3,-1,3600.02,1.034
B12C3,31236,2.7005,3597.36,0.0811243
B13C3,31346,2.48136,3597.55,0.0813501
B14C3,34713,3.50582,3596.56,0.0403019
B15C3,29355,31.4598,3568.59,0.101686
