Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
B1C3,34840,1.74998,3598.32,0.0400115
B2C3,36949,0.592886,3599.53,0.0338845
B3C3,38939,0.616021,3599.49,0.0582449
B4C3,34835,2.51741,3597.68,0.0611741
B5C3,33812,1.43056,3598.82,0.0833432
B6C3,71046,1.46683,3598.74,0.0366805
B7C3,65696,2.06029,3598.11,0.0283731
B8C3,72132,3.66444,3596.53,0.0170382
B9C3,67201,1.84792,3598.28,0.0369042
B10C3,73698,1.43881,3598.72,0.0198513
B11C3,96489,2.15062,3597.99,0.0239198
B12C3,93325,2.13167,3598.05,0.0240343
B13C3,82943,3.94591,3596.22,0.0396537
B14C3,96992,3.11337,3597.16,0.028126
B15C3,91559,2.685,3597.56,0.0411319
