Name,Best known Obj,Obj Fn,Runtime,MIPGAP
1_100_5_1,337,337,0.283999919891357,0
2_100_5_2,34097,34097,0.266999959945679,0
3_100_5_5,14254,14254,0.233999967575073,0
4_100_15_1,25576,25576,0.0279998779296875,0
5_100_15_7,-11899,-11899,0.736000061035156,0
6_100_15_15,12013,12013,0.361999988555908,0
7_100_30_1,18661,18661,0.425999879837036,0
8_100_30_15,-5872,-5872,5.34699988365173,0
9_100_30_30,-242,-242,0.0429999828338623,0
10_150_5_1,26317,26317,0.00999999046325684,0
11_150_5_2,29051,29051,0.133999824523926,0
12_150_5_5,28136,28136,0.352999925613403,0
13_150_15_1,24495,24495,0.0499999523162842,8.16493161869769e-05
14_150_15_7,15305,15305,0.250999927520752,0
15_150_15_15,20188,20188,0.480999946594238,0
16_150_30_1,49594,49594,0.575999975204468,0
17_150_30_15,17017,17017,1.48399996757507,0
18_150_30_30,34010,34010,3600.08499979973,0.00438106439282564
19_200_5_1,40490,40490,164.075999975204,9.87898246480613e-05
20_200_5_2,24586,24586,3600.1289999485,0.0024404132433092
21_200_5_5,46724,46724,28.2669999599457,4.28045544045886e-05
22_200_15_1,13615,13615,545.047000169754,7.34484024972457e-05
23_200_15_7,25036,25036,5.66899991035461,0
24_200_15_15,6072,6072,0.0269999504089355,0
25_200_30_1,31997,31972,3600.05500006676,0.00500437883147754
26_200_30_15,16131,16131,4.79999995231628,0
27_200_30_30,-17759,-17759,3600.03699994087,0.00484261501210654
28_250_5_1,54278,54278,1.86400008201599,0
29_250_5_2,37954,37954,5.75999999046326,0
30_250_5_5,48356,48356,6.47599983215332,4.13599139713789e-05
31_250_15_1,20725,20725,25.9590001106262,9.65018094089264e-05
32_250_15_7,41336,41336,10.3070001602173,0
33_250_15_15,30561,30561,3600.03600001335,0.00091620038611302
34_250_30_1,73165,73165,87.7769999504089,9.56741611426228e-05
35_250_30_15,53324,53331,3600.06100010872,0.00221259680111005
36_250_30_30,-19784,-19784,3600.11000013351,0.00429640113222806
37_500_5_1,1451,1451,1.57500004768372,0
38_500_5_2,106550,106550,3600.0529999733,0.000882214922571563
39_500_5_5,3228,3228,14.3360002040863,0
40_500_15_1,130111,130111,27.0370001792908,9.9914688227744e-05
41_500_15_7,110005,109998,3600.07100009918,0.00090910743831706
42_500_15_15,20180,20180,0.0839998722076416,9.91080277502478e-05
43_500_30_1,184947,184947,229.773999929428,9.73251796460608e-05
44_500_30_15,81160,81160,3600.06100010872,0.00226712666338098
45_500_30_30,-18054,-18054,3600.12599992752,0.00387725711753628
46_100_5_1,-2082.40970628739,-2082.40970628739,0.144999980926514,0
47_100_5_2,-2187.8171568942,-2187.8171568942,0.266999959945679,0
48_100_5_5,-8653.43951871259,-8653.43951871259,1.51699995994568,0
49_100_15_1,-7025.43738158621,-7025.43738158621,0.662999868392944,0
50_100_15_7,-6710.28462500158,-6710.28462500158,2.39100003242493,0
51_100_15_15,-11519.1476454371,-11519.1476454371,1.51200008392334,0
52_100_30_1,-2299.23554260691,-2299.23554260691,0.39300012588501,0
53_100_30_15,-13177.216876064,-13177.216876064,7.38700008392334,0
54_100_30_30,-13076.3155732331,-13076.3155732331,15.8180000782013,0
55_150_5_1,-17470.9631101151,-17470.9631101151,0.57699990272522,0
56_150_5_2,-2980.72465608431,-2980.72465608431,0.122999906539917,0
57_150_5_5,-11314.6993585368,-11314.6993585368,1.16400003433228,9.93869088308605e-05
58_150_15_1,-3980.85793935856,-3980.85793935856,0.108999967575073,0
59_150_15_7,-14519.3421491883,-14519.3421491883,2.59400010108948,6.33928950750639e-05
60_150_15_15,-10357.8898493681,-10357.8898493681,13.135999917984,0
61_150_30_1,-8262.87381843192,-8262.87381843192,0.157000064849854,0
62_150_30_15,-5409.33505106094,-5409.33505106094,5.97900009155273,0
63_150_30_30,-24469.5172746183,-24469.5172746183,18.5369999408722,0
64_200_5_1,-3519.30517811401,-3519.30517811401,0.0340001583099365,0
65_200_5_2,-6434.52021223018,-6434.52021223018,0.634999990463257,0
66_200_5_5,-6954.36467273279,-6954.3646727328,2.39400005340576,9.36214091101321e-05
67_200_15_1,-3102.04982247592,-3102.04982247592,0.67300009727478,0
68_200_15_7,-9264.31401993004,-9264.31401993004,3.78200006484985,0
69_200_15_15,-20067.9194498433,-20067.9194498433,8.45999979972839,0
70_200_30_1,-13690.2405901089,-13690.2405901089,0.64900016784668,9.21363518768563e-05
71_200_30_15,-26271.2779314008,-26271.2779314008,22.5999999046326,0
72_200_30_30,-23275.947120653,-23275.947120653,30.0130000114441,0
73_250_5_1,-8626.75897368862,-8626.75897368862,1.55499982833862,0
74_250_5_2,-2087.36129261103,-2087.36129261103,0.308000087738037,0
75_250_5_5,-10382.6308538927,-10382.6308538927,4.13800001144409,0
76_250_15_1,-14751.2212662393,-14751.2212662393,0.671999931335449,0
77_250_15_7,-1963.71480565072,-1963.71480565072,0.831000089645386,0
78_250_15_15,-14845.2185005843,-14845.2185005843,1.65199995040894,0
79_250_30_1,-12579.2572331122,-12579.2572331122,0.654000043869019,0
80_250_30_15,-46174.2980040905,-46174.2980040905,29.8940000534058,6.90528933812313e-05
81_250_30_30,-25922.0091976127,-25922.0091976127,12.6679999828339,0
82_500_5_1,-5751.22338839876,-5751.22338839876,0.977999925613403,5.02507890374567e-05
83_500_5_2,-22712.9207774899,-22712.9207774899,0.572999954223633,9.31535099771528e-05
84_500_5_5,-71786.6173840947,-71786.6173840947,1.34999990463257,9.20771232460164e-05
85_500_15_1,-6319.94609932144,-6319.94609932144,0.184999942779541,0
