Name,Best known Obj,Obj Fn,Runtime,MIPGAP
18_150_30_30,34010,34010,3600.08200001717,0.00435166127609527
20_200_5_2,24586,24586,3600.12699985504,0.0024404132433092
25_200_30_1,31997,31972,3600.08500003815,0.00547353934692856
27_200_30_30,-17759,-17759,3600.05399990082,0.00512416239653134
35_250_30_15,53324,53322,3600.07899999619,0.00247552604928547
36_250_30_30,-19784,-19784,3600.10299992561,0.00434694702790133
44_500_30_15,81160,81164,3600.05800008774,0.00219309053274851
45_500_30_30,-18054,-18054,3600.04500007629,0.0038218677301429
18_150_30_30,34010,34010,3600.08299994469,0.00449867685974713
20_200_5_2,24586,24586,3600.13899993896,0.0024404132433092
25_200_30_1,31997,31977,3600.10000014305,0.00515995872033024
27_200_30_30,-17759,-17759,3600.08200001717,0.00529309082718622
35_250_30_15,53324,53330,3600.09800004959,0.0023251453215826
36_250_30_30,-19784,-19784,3600.1400001049,0.00439749292357461
44_500_30_15,81160,81164,3600.04999995232,0.00219309053274851
45_500_30_30,-18054,-18054,3600.06999993324,0.00376647834274953
