Name,Obj Fn,Tabu Runtime,Gurobi Runtime,MIPGAP
"1-1000-60-60-1.0-0.25-M.txt",33594,42.5578,3557.47,0.18932
"1-1000-60-60-1.0-0.25-P.txt",160722,84.1271,3515.9,0.0236555
"1-1000-60-60-1.0-0.5-M.txt",43225,119.499,3480.54,0.27151
"1-1000-60-60-1.0-0.5-P.txt",257712,239.194,3360.84,0.0642733
"1-1000-60-60-1.0-0.75-M.txt",32729,175.987,3424.03,0.347918
"1-1000-60-60-1.0-0.75-P.txt",374097,262.048,3337.98,0.0290112
"10-1000-60-60-1.0-0.25-M.txt",37252,53.5138,3546.51,0.181091
"10-1000-60-60-1.0-0.25-P.txt",140046,76.1951,3523.83,0.100202
"10-1000-60-60-1.0-0.5-M.txt",58274,70.7082,3529.31,0.0963888
"10-1000-60-60-1.0-0.5-P.txt",253012,55.8925,3544.13,0.0507209
"10-1000-60-60-1.0-0.75-M.txt",35517,165.102,3434.92,0.220711
"10-1000-60-60-1.0-0.75-P.txt",354749,289.431,3310.59,0.0244004
"2-1000-60-60-1.0-0.25-M.txt",32535,101.075,3499.34,0.25637
"2-1000-60-60-1.0-0.25-P.txt",129466,76.2435,3523.92,0.0746142
"2-1000-60-60-1.0-0.5-M.txt",52755,99.1252,3500.89,0.148498
"2-1000-60-60-1.0-0.5-P.txt",270949,71.1325,3528.88,0.0339985
