Name,Obj Fn,Runtime,MIPGAP,seed
MT1_1000.txt,27302.0190,3600.3390,0.3808,2896096048
MT1_1100.txt,28333.5244,3600.4800,0.3752,832640161
MT1_1200.txt,29990.4833,3601.3320,0.3802,3357204071
MT1_1300.txt,30483.2370,3600.9720,0.3709,3799287414
MT1_1400.txt,33089.1035,3601.0520,0.3945,1224553389
MT1_1500.txt,36700.6281,3600.5450,0.4362,1663685252
MT1_1600.txt,38335.7402,3600.5400,0.4379,2525940893
MT1_1700.txt,35627.6262,3600.6100,0.3746,2702044432
MT1_1800.txt,36883.3059,3600.6520,0.3837,3997849004
MT1_1900.txt,38186.0683,3600.7040,0.3846,152039280
MT1_2000.txt,39617.5740,3601.7160,0.3874,4230046213
