Name:,Obj Fn,Runtime,MIPGAP
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_100",9999295084,0.0280001,7.12886e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_200",9999781057,0.085,2.35046e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.0001_s_300",9999799342,0.213,2.25227e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_100",9999074632,1.638,9.33372e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_200",9999556158,2.947,4.58975e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.001_s_300",9999424500,1.201,5.99431e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_100",9999228401,4.057,7.77417e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_200",9999235453,15.851,7.75873e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.01_s_300",9999245239,1.272,7.71795e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_100",9996100287,60.004,0.000389343
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_200",9996105242,60.008,0.000390182
"n_1000_c_10000000000_g_10_f_0.1_eps_0.1_s_300",9996111426,60.005,0.000389421
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_100",9980484859,62.799,0.00195565
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_200",9980506974,60.004,0.00195485
"n_1000_c_10000000000_g_10_f_0.1_eps_0_s_300",9980522287,60.003,0.00195384
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_100",9999086197,7.498,9.2195e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_200",9999105476,2.707,9.10202e-05
"n_1000_c_10000000000_g_10_f_0.1_eps_1e-05_s_300",9999221788,8.606,8.02188e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_100",9999298896,0.0150001,7.1109e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_200",9999315966,0.108,7.00936e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.0001_s_300",9999333088,0.0120001,6.96871e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_100",9999078945,0.104,9.30223e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_200",9999563304,0.0239999,4.54446e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.001_s_300",9999579987,2.259,4.49444e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_100",9999230739,2.845,7.76301e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_200",9999243141,1.75,7.72508e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.01_s_300",9999260683,3.283,7.61034e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_100",9996105678,60.009,0.000390027
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_200",9996114574,60.004,0.000388713
"n_1000_c_10000000000_g_10_f_0.2_eps_0.1_s_300",9996128860,60.004,0.000388602
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_100",10000018032,14.053,5.54899e-07
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_200",9980515435,60.005,0.00195419
"n_1000_c_10000000000_g_10_f_0.2_eps_0_s_300",9980536907,60.005,0.00195277
"n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_100",9999091814,5.922,9.17271e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_200",9999213428,7.127,8.04261e-05
"n_1000_c_10000000000_g_10_f_0.2_eps_1e-05_s_300",9999133771,7.974,8.92914e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_100",9999831457,0.135,1.787e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_200",9999324248,0.03,6.97282e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.0001_s_300",9999867585,0.0119998,1.63101e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_100",9999086848,0.218,9.2265e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_200",9999574199,0.12,4.46456e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.001_s_300",9999120583,0.0140002,9.12133e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_100",9999232951,7.594,7.75659e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_200",9999250850,1.592,7.67191e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.01_s_300",9999263150,0.178,7.62868e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_100",9996110127,60.007,0.000389709
"n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_200",9996126358,60.005,0.000388707
"n_1000_c_10000000000_g_10_f_0.3_eps_0.1_s_300",9996143739,60.005,0.000386781
"n_1000_c_10000000000_g_10_f_0.3_eps_0_s_100",10000012419,58.028,1.2508e-06
"n_1000_c_10000000000_g_10_f_0.3_eps_0_s_200",9980523961,60.005,0.00195342
"n_1000_c_10000000000_g_10_f_0.3_eps_0_s_300",9980550250,60.008,0.00195184
"n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_100",9999096088,8.023,9.14288e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_200",9999023083,8.809,9.97438e-05
"n_1000_c_10000000000_g_10_f_0.3_eps_1e-05_s_300",9999047507,13.521,9.82665e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_100",9999833420,0.0110002,1.78104e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_200",9999136541,0.0119998,8.85741e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.0001_s_300",9999376581,0.0149999,6.58372e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_100",9999649087,0.013,3.61708e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_200",9999766391,0.0139999,2.56156e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.001_s_300",9999549044,0.00800014,4.83999e-05
"n_1000_c_10000000000_g_14_f_0.1_eps_0.01_s_100",9999033571,0.0120001,9.73291e-05
